time,RSI
2023-10-13,45.2719
2023-10-11,46.3954
2023-10-10,46.2250
2023-10-09,45.8842
2023-10-06,45.9563
2023-10-05,44.6655
2023-10-04,45.8212
2023-10-03,45.1182
2023-10-02,45.2636
2023-09-29,45.3359
2023-09-28,44.7682
2023-09-27,44.7245
2023-09-26,44.9712
2023-09-25,45.6115
2023-09-22,45.1822
2023-09-21,45.6099
2023-09-20,46.4441
2023-09-19,46.2750
2023-09-18,46.1064
2023-09-15,46.2141
2023-09-14,46.6091
2023-09-13,47.0069
2023-09-12,47.2610
2023-09-11,47.8463
2023-09-09,47.1580
2023-09-08,47.1580
2023-09-06,48.1846
2023-09-05,48.2961
2023-09-04,47.6969
2023-09-02,47.7334
2023-09-01,47.7334
2023-08-31,47.6155
2023-08-30,48.8520
2023-08-29,49.1494
2023-08-28,48.9571
2023-08-25,48.1026
2023-08-24,48.8385
2023-08-23,49.8193
2023-08-22,49.7039
2023-08-21,49.2806
2023-08-18,49.4680
2023-08-17,48.9297
2023-08-16,48.7754
2023-08-15,48.8484
2023-08-14,49.3240
2023-08-11,49.4339
2023-08-10,49.4703
2023-08-09,49.5064
2023-08-08,49.9390
2023-08-07,50.5956
2023-08-04,50.7056
2023-08-03,50.4211
2023-08-02,51.9808
2023-08-01,51.7344
2023-07-31,51.3105
2023-07-28,51.6850
2023-07-27,50.7599
2023-07-26,51.8177
2023-07-25,52.0093
2023-07-24,52.3543
2023-07-21,53.0511
2023-07-20,51.7078
2023-07-19,50.6409
2023-07-18,50.7941
2023-07-17,51.3712
2023-07-14,51.0778
2023-07-13,51.1542
2023-07-12,50.8997
2023-07-11,50.6816
2023-07-10,52.1333
2023-07-07,51.5549
2023-07-06,51.4823
2023-07-05,52.9746
2023-07-04,52.7247
2023-07-03,53.8169
2023-06-30,53.8169
2023-06-29,53.1475
2023-06-28,53.1475
2023-06-27,53.7910
2023-06-26,53.6521
2023-06-23,54.2575
2023-06-22,54.5010
2023-06-21,53.5726
2023-06-20,53.0812
2023-06-19,52.9756
2023-06-16,52.8355
2023-06-15,53.3073
2023-06-14,53.8627
2023-06-13,53.6578
2023-06-12,53.2813
2023-06-09,53.2129
2023-06-07,52.2080
2023-06-06,52.1027
2023-06-05,50.6302
2023-06-02,50.8188
2023-06-01,50.0076
2023-05-31,50.6467
