time,RSI
2023-10-13,46.9162
2023-10-11,47.8459
2023-10-10,47.8896
2023-10-09,47.2457
2023-10-06,47.3745
2023-10-05,47.1128
2023-10-04,47.3885
2023-10-03,46.5065
2023-10-02,47.5953
2023-09-29,48.2310
2023-09-28,47.7901
2023-09-27,47.3624
2023-09-26,47.4480
2023-09-25,48.0271
2023-09-22,48.2371
2023-09-21,48.5736
2023-09-20,49.7665
2023-09-19,49.2880
2023-09-18,49.6455
2023-09-15,50.1660
2023-09-14,50.3941
2023-09-13,50.1923
2023-09-12,50.0806
2023-09-11,49.5203
2023-09-08,48.6763
2023-09-06,48.6763
2023-09-05,49.1773
2023-09-04,49.8173
2023-09-01,49.6383
2023-08-31,49.5269
2023-08-30,50.1640
2023-08-29,50.9471
2023-08-28,50.8603
2023-08-25,50.7741
2023-08-24,51.2189
2023-08-23,52.3775
2023-08-22,51.6557
2023-08-21,50.8312
2023-08-18,51.2411
2023-08-17,50.7387
2023-08-16,51.6084
2023-08-15,52.0970
2023-08-14,52.3072
2023-08-11,52.5169
2023-08-10,52.6795
2023-08-09,52.7488
2023-08-08,53.1874
2023-08-07,53.5121
2023-08-04,53.6975
2023-08-03,54.0684
2023-08-02,53.8713
2023-08-01,53.8124
2023-07-31,54.1776
2023-07-28,53.8286
2023-07-27,53.5954
2023-07-26,54.3887
2023-07-25,54.4799
2023-07-24,54.7299
2023-07-21,54.8885
2023-07-20,53.8285
2023-07-19,53.8093
2023-07-18,54.0539
2023-07-17,53.8272
2023-07-14,53.5626
2023-07-13,53.8024
2023-07-12,53.2179
2023-07-11,52.6050
2023-07-10,52.9268
2023-07-07,53.5319
2023-07-06,53.1913
2023-07-05,54.3974
2023-07-04,54.4196
2023-07-03,54.8407
2023-06-30,54.2504
2023-06-29,54.3163
2023-06-28,53.0166
2023-06-27,53.2557
2023-06-26,53.0168
2023-06-23,53.8361
2023-06-22,53.4046
2023-06-21,54.3672
2023-06-20,54.5665
2023-06-19,54.7208
