time,RSI
2023-10-13,56.0095
2023-10-11,56.1811
2023-10-10,55.7697
2023-10-09,55.8600
2023-10-06,56.1525
2023-10-05,54.4166
2023-10-04,54.2853
2023-10-03,53.9570
2023-10-02,54.6228
2023-09-29,54.7677
2023-09-28,55.2816
2023-09-27,53.9039
2023-09-26,53.5207
2023-09-25,54.2574
2023-09-22,54.5616
2023-09-21,54.4867
2023-09-20,55.7249
2023-09-19,55.3377
2023-09-18,55.4177
2023-09-15,55.6451
2023-09-14,55.5005
2023-09-13,55.3834
2023-09-12,55.4278
2023-09-11,55.2019
2023-09-08,54.5424
2023-09-06,54.6875
2023-09-05,55.0317
2023-09-04,55.2145
2023-09-02,55.3752
2023-09-01,55.3752
2023-08-31,55.1020
2023-08-30,55.8959
2023-08-29,56.6500
2023-08-28,56.4255
2023-08-25,55.2791
2023-08-24,55.9484
2023-08-23,56.6382
2023-08-22,56.4611
2023-08-21,56.1656
2023-08-18,55.6155
2023-08-17,55.4554
2023-08-16,55.0840
2023-08-15,54.7444
2023-08-14,55.0017
2023-08-11,55.4870
2023-08-10,55.0610
2023-08-09,54.8597
2023-08-08,55.1246
2023-08-07,55.4609
2023-08-04,55.5423
2023-08-03,55.7955
2023-08-02,55.7315
2023-08-01,55.5645
2023-07-31,56.3970
2023-07-28,55.6762
2023-07-27,55.2416
2023-07-26,56.2323
2023-07-25,55.9128
2023-07-24,56.1665
2023-07-21,57.1419
2023-07-20,56.6952
2023-07-19,56.2837
2023-07-18,57.1522
2023-07-17,57.0272
2023-07-14,56.6987
2023-07-13,57.0275
2023-07-12,56.6778
2023-07-11,57.4804
2023-07-10,58.2128
2023-07-07,59.1944
2023-07-06,58.4787
2023-07-05,59.2695
2023-07-04,59.6303
2023-07-03,59.9808
2023-06-30,59.2471
2023-06-29,59.9617
2023-06-28,59.6204
2023-06-27,60.2951
2023-06-26,61.3543
2023-06-23,61.2683
2023-06-22,61.2541
2023-06-21,62.3767
2023-06-20,61.2474
2023-06-19,61.2589
2023-06-16,60.5879
2023-06-15,61.0086
2023-06-14,60.2704
2023-06-13,60.0909
2023-06-12,61.0583
2023-06-09,59.4869
2023-06-07,57.6857
2023-06-06,57.7086
2023-06-05,57.2723
2023-06-02,57.1461
2023-06-01,57.0372
2023-05-31,56.2777
2023-05-30,56.3641
2023-05-29,56.0468
2023-05-26,56.1319
2023-05-25,56.4074
2023-05-24,56.3911
2023-05-23,56.2615
2023-05-22,55.4260
2023-05-19,56.0285
2023-05-18,55.3324
2023-05-17,55.3633
2023-05-16,55.3055
2023-05-15,56.6338
2023-05-12,56.4639
2023-05-11,56.6417
2023-05-10,55.9224
2023-05-09,55.4623
2023-05-08,55.5956
2023-05-06,55.7693
2023-05-05,55.7693
2023-05-04,54.9003
2023-05-03,54.5116
2023-05-02,54.6405
2023-04-29,55.6633
2023-04-28,55.6633
2023-04-27,55.5514
2023-04-26,55.5117
2023-04-25,55.8575
2023-04-24,56.2539
2023-04-20,56.3430
2023-04-19,56.0290
2023-04-18,56.5297
2023-04-17,56.4693
2023-04-14,56.3943
2023-04-13,55.8445
2023-04-12,55.8636
2023-04-11,53.6832
2023-04-10,52.9380
2023-04-06,52.9213
2023-04-05,53.0421
2023-04-04,53.1716
2023-04-03,52.6486
2023-03-31,53.0704
