time,RSI
2023-10-13,48.3069
2023-10-11,48.8445
2023-10-10,48.3007
2023-10-09,47.8829
2023-10-06,48.1962
2023-10-05,48.1187
2023-10-04,47.9644
2023-10-03,46.7362
2023-10-02,47.1369
2023-09-29,47.6091
2023-09-28,47.4796
2023-09-27,46.6127
2023-09-26,46.7053
2023-09-25,47.0520
2023-09-22,47.1442
2023-09-21,47.3976
2023-09-20,48.6928
2023-09-19,48.5408
2023-09-18,48.9472
2023-09-15,48.9472
2023-09-14,49.0183
2023-09-13,48.8713
2023-09-12,48.7252
2023-09-11,48.2862
2023-09-08,47.6200
2023-09-06,47.6200
2023-09-05,48.0697
2023-09-04,48.7991
2023-09-01,49.0063
2023-08-31,48.8655
2023-08-30,49.3453
2023-08-29,50.1104
2023-08-28,49.6892
2023-08-25,48.5418
2023-08-24,48.9795
2023-08-23,49.8461
2023-08-22,49.3425
2023-08-21,49.1016
2023-08-18,49.3572
2023-08-17,49.1189
2023-08-16,49.4877
2023-08-15,49.6725
2023-08-14,49.5793
2023-08-11,49.7617
2023-08-10,49.9665
2023-08-09,49.6703
2023-08-08,49.8501
2023-08-07,49.6924
2023-08-04,49.9366
2023-08-03,52.4911
2023-08-02,52.7827
2023-08-01,52.6742
2023-07-31,52.7247
2023-07-28,52.4032
2023-07-27,52.0158
2023-07-26,52.9162
2023-07-25,52.5524
2023-07-24,52.6947
2023-07-21,53.8000
2023-07-20,52.6456
2023-07-19,52.6238
2023-07-18,52.7675
2023-07-17,52.8390
2023-07-14,52.4782
2023-07-13,52.7603
2023-07-12,51.9075
2023-07-11,52.2576
2023-07-10,52.2363
2023-07-07,52.2153
2023-07-06,51.9846
2023-07-05,52.9042
2023-07-04,52.8422
2023-07-03,53.1190
2023-06-30,52.6508
2023-06-29,52.0717
2023-06-28,51.9263
2023-06-27,52.5350
2023-06-26,52.8534
2023-06-23,52.6160
2023-06-22,53.0854
2023-06-21,54.1095
2023-06-20,54.2015
2023-06-19,54.1243
2023-06-16,53.5426
2023-06-15,53.4453
2023-06-14,53.3484
2023-06-13,53.1361
2023-06-12,53.0978
2023-06-09,53.4010
2023-06-07,52.8679
2023-06-06,52.8892
2023-06-05,52.3934
2023-06-02,51.3200
2023-06-01,51.3200
2023-05-31,50.7484
2023-05-30,51.1389
2023-05-29,52.0571
2023-05-26,52.0184
2023-05-25,52.0184
2023-05-24,50.9293
2023-05-23,51.9507
2023-05-22,51.6964
2023-05-19,52.0321
2023-05-18,51.2882
2023-05-17,51.1896
2023-05-16,51.3335
2023-05-15,51.3142
2023-05-12,50.8494
2023-05-11,50.7136
2023-05-10,50.3250
2023-05-09,50.2669
2023-05-08,50.5602
2023-05-05,49.4904
2023-05-04,48.0751
2023-05-03,47.4080
2023-05-02,47.1982
2023-04-28,47.5376
2023-04-27,47.3512
2023-04-26,46.8107
2023-04-25,47.1796
2023-04-24,46.5544
2023-04-20,46.7551
2023-04-19,46.5060
2023-04-18,46.9594
2023-04-17,47.1232
2023-04-14,47.2321
2023-04-13,47.2680
2023-04-12,47.2482
2023-04-11,47.3719
2023-04-10,45.9901
2023-04-06,45.6832
2023-04-05,46.0111
2023-04-04,45.7880
2023-04-03,45.2383
2023-03-31,45.7677
2023-03-30,46.1277
2023-03-29,45.3369
2023-03-28,45.1940
2023-03-27,45.2273
2023-03-24,44.7618
2023-03-23,44.4773
2023-03-22,45.2183
2023-03-21,45.4180
2023-03-20,45.3383
2023-03-17,45.7183
2023-03-16,46.6952
2023-03-15,45.9459
2023-03-14,45.5673
2023-03-13,45.7007
2023-03-10,45.9505
2023-03-09,46.6235
2023-03-08,46.7080
2023-03-07,45.8912
2023-03-06,45.2783
2023-03-03,44.4138
2023-03-02,44.2718
2023-03-01,44.5776
2023-02-28,44.7081
2023-02-27,44.8521
2023-02-24,45.0596
2023-02-23,45.7695
2023-02-22,45.8671
2023-02-17,46.0940
2023-02-16,46.2233
2023-02-15,45.7332
2023-02-14,44.7360
2023-02-13,44.5031
2023-02-10,43.6207
2023-02-09,45.4159
2023-02-08,46.0131
2023-02-07,44.6931
2023-02-06,44.8245
2023-02-03,44.9063
2023-02-02,45.4149
2023-02-01,45.0373
2023-01-31,45.4486
2023-01-30,44.9934
2023-01-27,44.8549
2023-01-26,45.5363
2023-01-25,45.4583
2023-01-24,45.6202
2023-01-23,45.3311
2023-01-20,46.3396
2023-01-19,46.6880
2023-01-18,46.6313
2023-01-17,46.2158
2023-01-16,46.0266
2023-01-13,46.7756
2023-01-12,46.8578
2023-01-11,47.4511
2023-01-10,46.8964
2023-01-09,46.0696
2023-01-06,46.7243
2023-01-05,44.7955
2023-01-04,43.6036
2023-01-03,43.5243
2023-01-02,44.6886
2022-12-29,45.2972
2022-12-28,45.3133
2022-12-27,44.4371
2022-12-26,44.5469
2022-12-23,45.1152
2022-12-22,44.6100
2022-12-21,44.5129
2022-12-20,44.2804
2022-12-19,43.2809
2022-12-16,42.5203
2022-12-15,42.5500
2022-12-14,42.8018
2022-12-13,42.2243
2022-12-12,42.8446
2022-12-09,43.0832
2022-12-08,43.4576
2022-12-07,44.1105
2022-12-06,44.3714
2022-12-05,43.6927
2022-12-02,44.5696
2022-12-01,44.6163
2022-11-30,44.8658
2022-11-29,44.7329
2022-11-28,44.3916
2022-11-25,44.4218
2022-11-24,44.8595
2022-11-23,44.2785
2022-11-22,44.4430
2022-11-21,44.5323
2022-11-18,44.6953
2022-11-17,44.5674
2022-11-16,43.9629
2022-11-14,43.8710
2022-11-11,43.8529
2022-11-10,43.3980
2022-11-09,44.0335
2022-11-08,49.1477
2022-11-07,49.4647
2022-11-04,50.6136
2022-11-03,50.9984
2022-11-01,51.6650
