time,RSI
2021-12-23,46.9985
2021-12-22,47.3516
2021-12-21,47.4611
2021-12-20,47.6795
2021-12-17,48.3775
2021-12-16,48.8871
2021-12-15,48.8740
2021-12-14,48.7430
2021-12-13,49.2696
2021-12-10,49.1305
2021-12-09,48.4172
2021-12-08,49.2225
2021-12-07,48.2542
2021-12-06,48.1237
2021-12-03,47.8633
2021-12-02,47.3266
2021-12-01,46.9043
2021-11-30,47.6009
2021-11-29,47.4700
2021-11-26,47.4817
2021-11-25,48.1899
2021-11-24,47.9722
2021-11-23,48.3627
2021-11-22,47.5689
2021-11-19,47.9930
2021-11-18,48.0283
2021-11-17,47.7491
2021-11-16,48.1567
2021-11-12,48.6736
2021-11-11,49.1604
2021-11-10,48.9137
2021-11-09,48.7907
2021-11-08,48.0348
2021-11-05,48.4293
2021-11-04,47.6788
2021-11-03,48.6722
2021-11-01,47.2643
2021-10-29,46.2290
2021-10-28,46.5072
2021-10-27,46.9617
2021-10-26,46.5105
2021-10-25,48.1196
2021-10-22,46.6163
2021-10-21,47.2512
2021-10-20,48.8083
2021-10-19,48.7812
2021-10-18,50.7684
2021-10-15,50.5273
2021-10-14,51.1192
2021-10-13,51.2437
2021-10-11,50.8888
2021-10-08,50.7705
2021-10-07,49.8944
2021-10-06,48.8013
2021-10-05,49.3341
2021-10-04,49.6157
2021-10-01,49.8705
2021-09-30,49.1076
2021-09-29,49.4536
2021-09-28,49.5733
2021-09-27,50.9013
2021-09-24,51.3459
2021-09-23,51.6952
2021-09-22,51.4992
2021-09-21,51.4212
2021-09-20,50.6481
2021-09-17,51.3335
2021-09-16,52.0447
2021-09-15,51.6547
2021-09-14,51.6823
2021-09-13,51.7324
2021-09-10,51.4164
2021-09-09,51.0359
2021-09-08,50.3815
2021-09-06,51.8475
2021-09-03,51.7327
2021-09-02,51.7074
2021-09-01,53.2995
2021-08-31,53.9140
2021-08-30,53.6804
2021-08-27,53.8510
2021-08-26,53.0129
2021-08-25,53.2241
2021-08-24,52.8398
2021-08-23,52.0218
2021-08-20,52.6759
2021-08-19,52.6382
2021-08-18,52.7489
2021-08-17,53.0945
2021-08-16,53.5951
2021-08-13,54.2846
2021-08-12,53.9132
2021-08-11,54.8815
2021-08-10,56.2946
2021-08-09,56.2597
2021-08-06,55.6767
2021-08-05,55.3705
2021-08-04,55.7961
2021-08-03,56.1647
2021-08-02,56.8035
2021-07-30,56.3116
2021-07-29,57.8902
2021-07-28,57.2976
2021-07-27,57.2976
2021-07-26,57.5265
2021-07-23,57.0738
2021-07-22,57.5596
2021-07-21,57.1876
2021-07-20,57.1424
2021-07-19,56.9179
2021-07-16,57.1700
2021-07-15,57.8867
2021-07-14,58.4153
2021-07-13,58.2644
2021-07-12,58.5348
2021-07-08,57.8243
2021-07-07,57.7591
2021-07-06,57.6836
2021-07-05,58.9655
2021-07-02,58.8918
2021-07-01,58.0510
2021-06-30,55.8799
2021-06-29,55.4278
2021-06-28,56.8854
2021-06-25,57.3834
2021-06-24,57.4613
2021-06-23,56.8706
2021-06-22,57.8529
2021-06-21,57.6576
2021-06-18,57.3583
2021-06-17,57.2201
2021-06-16,56.3092
2021-06-15,56.4313
2021-06-14,56.6592
2021-06-11,56.2039
2021-06-10,56.9941
2021-06-09,58.3370
2021-06-08,58.8318
2021-06-07,58.5624
2021-06-04,58.3262
2021-06-02,58.1576
2021-06-01,57.6372
2021-05-31,56.3640
2021-05-28,56.0882
2021-05-27,56.0882
2021-05-26,55.9460
2021-05-25,55.4817
2021-05-24,56.3408
2021-05-21,56.2819
2021-05-20,56.0122
2021-05-19,55.9302
2021-05-18,55.5793
2021-05-17,55.3563
2021-05-14,55.5306
2021-05-13,55.8789
2021-05-12,55.8560
2021-05-11,54.4432
2021-05-10,54.0583
2021-05-07,54.1008
2021-05-06,53.1914
2021-05-05,53.6403
2021-05-04,52.8149
2021-05-03,53.3483
2021-04-30,52.8521
2021-04-29,53.1881
2021-04-28,53.1759
2021-04-27,52.5973
2021-04-26,53.2205
2021-04-23,53.2083
2021-04-22,52.7078
2021-04-20,53.4534
