time,RSI
2023-10-13,46.1058
2023-10-11,45.3384
2023-10-10,45.1063
2023-10-09,44.1672
2023-10-06,44.2922
2023-10-05,44.1357
2023-10-04,43.9799
2023-10-03,43.5118
2023-10-02,44.6190
2023-09-29,44.3072
2023-09-28,43.9951
2023-09-27,43.4460
2023-09-26,43.0511
2023-09-25,43.0511
2023-09-22,42.6588
2023-09-21,42.5019
2023-09-20,43.2040
2023-09-19,43.3814
2023-09-18,43.9772
2023-09-15,44.2176
2023-09-14,44.5797
2023-09-13,44.8828
2023-09-12,44.8085
2023-09-11,44.8684
2023-09-09,44.7953
2023-09-08,44.7953
2023-09-06,45.0292
2023-09-05,45.2632
2023-09-04,45.6152
2023-09-02,45.9097
2023-09-01,45.9097
2023-08-31,44.9340
2023-08-30,45.3973
2023-08-29,45.5134
2023-08-28,44.8853
2023-08-25,44.8153
2023-08-24,45.0417
2023-08-23,45.2682
2023-08-22,45.3812
2023-08-21,45.3136
2023-08-18,45.5366
2023-08-17,45.4702
2023-08-16,44.8038
2023-08-15,44.3324
2023-08-14,44.8745
2023-08-11,45.7608
2023-08-10,45.8167
2023-08-09,46.4926
2023-08-08,46.5492
2023-08-07,46.7013
2023-08-04,46.7013
2023-08-03,47.4755
2023-08-02,47.2280
2023-08-01,49.7222
2023-07-31,49.8431
2023-07-28,49.1689
2023-07-27,49.5886
2023-07-26,50.3185
2023-07-25,50.4413
2023-07-24,50.9323
2023-07-21,51.2408
2023-07-20,50.5885
2023-07-19,50.1691
2023-07-18,49.4400
2023-07-17,48.6968
2023-07-14,48.5094
2023-07-13,48.6262
2023-07-12,48.6262
2023-07-11,48.9162
2023-07-10,49.0894
2023-07-07,49.3790
2023-07-06,48.0455
2023-07-05,48.4476
2023-07-04,48.0787
2023-07-03,48.4792
2023-06-30,48.9402
2023-06-29,49.2886
2023-06-28,48.5643
2023-06-27,49.2015
2023-06-26,49.5532
2023-06-23,49.1335
2023-06-22,49.1335
2023-06-21,49.4795
2023-06-20,49.5944
2023-06-19,49.0072
2023-06-16,48.4717
2023-06-15,48.5841
2023-06-14,48.8077
2023-06-13,49.4272
2023-06-12,49.6541
2023-06-09,49.4243
2023-06-07,49.1947
2023-06-06,48.9073
2023-06-05,49.5726
2023-06-02,49.5161
2023-06-01,49.1198
2023-05-31,49.2840
2023-05-30,49.8337
2023-05-29,49.9988
2023-05-26,50.2748
2023-05-25,51.1681
2023-05-24,51.0064
2023-05-23,52.2617
2023-05-22,52.2089
2023-05-19,53.3811
2023-05-18,54.2250
2023-05-17,54.1734
2023-05-16,53.8671
2023-05-15,54.6512
2023-05-12,54.6010
2023-05-11,54.6010
2023-05-10,54.2525
2023-05-09,55.4563
2023-05-08,55.0614
2023-05-05,55.0122
2023-05-04,55.3731
2023-05-03,53.8073
2023-05-02,53.7566
2023-04-28,53.9324
2023-04-27,52.9169
2023-04-26,52.3978
2023-04-25,51.9256
2023-04-24,52.0393
2023-04-20,52.0951
2023-04-19,51.5755
2023-04-18,52.9987
2023-04-17,52.2684
2023-04-14,52.1110
2023-04-13,51.3679
2023-04-12,51.3145
2023-04-11,51.1016
2023-04-10,49.9652
2023-04-06,49.9652
2023-04-05,50.0739
2023-04-04,50.1279
2023-04-03,49.9141
2023-03-31,50.8853
2023-03-30,51.7153
2023-03-29,51.8270
2023-03-28,52.1054
2023-03-27,51.5904
2023-03-24,52.0895
2023-03-23,51.3129
2023-03-22,51.8676
2023-03-21,51.7642
2023-03-20,51.5583
2023-03-17,51.2497
2023-03-16,52.5203
2023-03-15,52.4187
2023-03-14,52.6418
2023-03-13,52.3915
2023-03-10,52.4460
2023-03-09,53.1641
2023-03-08,53.3304
2023-03-07,52.0401
2023-03-06,51.9388
2023-03-03,51.6868
2023-03-02,50.9215
2023-03-01,50.7670
2023-02-28,51.0316
2023-02-27,50.9814
2023-02-24,51.2962
2023-02-23,51.6123
2023-02-22,52.1419
2023-02-17,53.1685
2023-02-16,53.9431
2023-02-15,54.0546
2023-02-14,53.4359
2023-02-13,54.1016
2023-02-10,54.1016
2023-02-09,53.2451
2023-02-08,53.5752
2023-02-07,52.7048
2023-02-06,53.0325
2023-02-03,52.1983
2023-02-02,52.5789
2023-02-01,51.8333
2023-01-31,52.6529
2023-01-30,52.5041
2023-01-27,53.9011
2023-01-26,54.2435
2023-01-25,54.0989
2023-01-24,53.6645
2023-01-23,52.8292
2023-01-20,52.1257
2023-01-19,52.1257
2023-01-18,52.8429
2023-01-17,52.3941
2023-01-16,51.8394
2023-01-13,51.9479
2023-01-12,52.7716
2023-01-11,53.6133
2023-01-10,53.2692
2023-01-09,52.9728
2023-01-06,52.8742
2023-01-05,52.5296
2023-01-04,52.4804
2023-01-03,52.4804
2023-01-02,53.6791
2022-12-29,54.4635
2022-12-28,54.3219
2022-12-27,53.7048
2022-12-26,53.9821
2022-12-23,54.2601
2022-12-22,53.3149
2022-12-21,52.8381
2022-12-20,52.3557
2022-12-19,51.6713
2022-12-16,50.9231
2022-12-15,51.7693
2022-12-14,50.9626
2022-12-13,49.5533
2022-12-12,50.2416
2022-12-09,49.7634
2022-12-08,49.7634
2022-12-07,50.0251
2022-12-06,49.9211
2022-12-05,49.9726
2022-12-02,51.5024
2022-12-01,51.0935
2022-11-30,52.1264
2022-11-29,52.1264
2022-11-28,51.9765
2022-11-25,52.0842
2022-11-24,53.2331
2022-11-23,52.1890
2022-11-22,54.1849
2022-11-21,54.8377
2022-11-18,53.9899
2022-11-17,53.7878
2022-11-16,53.9047
2022-11-14,54.2561
2022-11-11,54.2561
2022-11-10,54.3138
2022-11-09,55.8129
2022-11-08,56.1112
2022-11-07,56.5895
2022-11-04,57.0712
