time,RSI
2022-02-11,48.2561
2022-02-10,48.2561
2022-02-09,48.0930
2022-02-08,47.7559
2022-02-07,48.4695
2022-02-04,49.6134
2022-02-03,49.7780
2022-02-02,49.5558
2022-02-01,49.5348
2022-01-31,49.6716
2022-01-28,49.0800
2022-01-27,48.6937
2022-01-26,49.8405
2022-01-25,48.9684
2022-01-24,47.7672
2022-01-21,48.2889
2022-01-20,47.4571
2022-01-19,46.8717
2022-01-18,46.0110
2022-01-17,46.0033
2022-01-14,45.6138
2022-01-13,45.2462
2022-01-12,45.7197
2022-01-11,44.7540
2022-01-10,43.5596
2022-01-07,44.3983
2022-01-06,44.1432
2022-01-05,43.3096
2022-01-04,44.2454
2022-01-03,44.3558
2021-12-30,44.8778
2021-12-29,43.9181
2021-12-28,44.3475
2021-12-27,44.9506
2021-12-23,45.0501
2021-12-22,45.7379
2021-12-21,46.2984
2021-12-20,46.0843
2021-12-17,46.2805
2021-12-16,46.5613
2021-12-15,45.7645
2021-12-14,45.7408
2021-12-13,46.3180
2021-12-10,45.5633
2021-12-09,45.5396
2021-12-08,45.7796
2021-12-07,45.3815
2021-12-06,45.5894
2021-12-03,45.7515
2021-12-02,44.7638
2021-12-01,43.3485
2021-11-30,44.2998
2021-11-29,45.1524
2021-11-26,45.5579
2021-11-25,46.6972
2021-11-24,47.2325
2021-11-23,47.8434
2021-11-22,47.4895
2021-11-19,48.1143
2021-11-18,47.9076
2021-11-17,46.8719
2021-11-16,47.5616
2021-11-12,48.2460
2021-11-11,49.4875
2021-11-10,48.4763
2021-11-09,48.3640
2021-11-08,47.6822
2021-11-05,47.4383
2021-11-04,46.2008
2021-11-03,46.3236
2021-11-01,44.9914
2021-10-29,44.3183
2021-10-28,44.5919
2021-10-27,45.0580
2021-10-26,44.6282
2021-10-25,44.9623
2021-10-22,44.7468
2021-10-21,44.5792
2021-10-20,44.8242
2021-10-19,45.5717
2021-10-18,46.7102
2021-10-15,47.2989
2021-10-14,46.3646
2021-10-13,46.7229
2021-10-11,46.8522
2021-10-08,46.8314
2021-10-07,46.0363
2021-10-06,46.1802
2021-10-05,46.4969
2021-10-04,46.4225
2021-10-01,47.6580
2021-09-30,47.6654
2021-09-29,47.3575
2021-09-28,47.2564
2021-09-27,48.9687
2021-09-24,49.7840
2021-09-23,49.8740
2021-09-22,49.4966
2021-09-21,50.7618
2021-09-20,49.9450
2021-09-17,50.8692
2021-09-16,51.4412
2021-09-15,51.5899
2021-09-14,51.5707
2021-09-13,51.1553
2021-09-10,50.2277
2021-09-09,50.5081
2021-09-08,50.0585
2021-09-06,51.2058
2021-09-03,50.4296
2021-09-02,49.9185
2021-09-01,50.1321
2021-08-31,49.7263
2021-08-30,49.8496
2021-08-27,50.0437
2021-08-26,50.0673
2021-08-25,50.9849
2021-08-24,50.8923
2021-08-23,50.7234
2021-08-20,51.9168
2021-08-19,50.8057
2021-08-18,49.8049
2021-08-17,50.4076
2021-08-16,51.0229
2021-08-13,51.5336
2021-08-12,50.8967
2021-08-11,48.6824
2021-08-10,48.8212
2021-08-09,49.0696
2021-08-06,49.5443
2021-08-05,49.7084
2021-08-04,49.6713
2021-08-03,50.0494
2021-08-02,49.8503
2021-07-30,49.7937
2021-07-29,50.5606
2021-07-28,50.4811
2021-07-27,49.8344
2021-07-26,49.8702
2021-07-23,50.1398
2021-07-22,50.1674
2021-07-21,50.0350
2021-07-20,50.5593
2021-07-19,51.3463
2021-07-16,51.7531
2021-07-15,51.8820
2021-07-14,52.0385
2021-07-13,51.8727
2021-07-12,51.5967
2021-07-08,51.3610
2021-07-07,51.8373
2021-07-06,51.1387
2021-07-05,51.5125
2021-07-02,51.8249
2021-07-01,51.3465
2021-06-30,51.8839
2021-06-29,52.1856
2021-06-28,52.2638
2021-06-25,51.9646
2021-06-24,52.8704
2021-06-23,52.5244
2021-06-22,52.3547
2021-06-21,51.9117
2021-06-18,52.6917
2021-06-17,52.6285
2021-06-16,52.0944
2021-06-15,51.7006
2021-06-14,51.9597
2021-06-11,51.9561
2021-06-10,52.8569
2021-06-09,52.8398
2021-06-08,52.7206
2021-06-07,52.7961
2021-06-04,52.5945
2021-06-02,52.8739
2021-06-01,53.4929
2021-05-31,53.4570
2021-05-28,53.2422
2021-05-27,53.0896
2021-05-26,53.0347
2021-05-25,52.9256
2021-05-24,53.0980
2021-05-21,52.1008
2021-05-20,51.7766
2021-05-19,50.8316
2021-05-18,51.3153
2021-05-17,51.2221
2021-05-14,51.2985
2021-05-13,51.1692
2021-05-12,50.4318
2021-05-11,51.8934
2021-05-10,51.9323
2021-05-07,52.4624
2021-05-06,51.7340
2021-05-05,51.9203
2021-05-04,51.6438
2021-05-03,51.8871
2021-04-30,51.2472
2021-04-29,51.6059
2021-04-28,51.6093
2021-04-27,51.3106
2021-04-26,51.3555
2021-04-23,51.3524
2021-04-22,51.2396
2021-04-20,52.0830
2021-04-19,51.4475
2021-04-16,51.7004
2021-04-15,51.4923
2021-04-14,51.8388
2021-04-13,52.0170
2021-04-12,51.5375
2021-04-09,51.5253
2021-04-08,51.7741
2021-04-07,52.1203
2021-04-06,51.4900
2021-04-05,51.5700
2021-04-01,51.5402
2021-03-31,51.8245
2021-03-30,52.1090
2021-03-29,52.2384
2021-03-26,52.5154
2021-03-25,53.1850
2021-03-24,52.0080
2021-03-23,52.7704
2021-03-22,52.3403
2021-03-19,52.6772
2021-03-18,52.4057
2021-03-17,52.7340
2021-03-16,53.1274
2021-03-15,52.7013
2021-03-12,52.2082
2021-03-11,52.6952
2021-03-10,52.3264
2021-03-09,51.9932
2021-03-08,51.3608
2021-03-05,53.2301
2021-03-04,53.2366
2021-03-03,53.6114
2021-03-02,54.2225
2021-03-01,54.4935
2021-02-26,53.6657
2021-02-25,54.1833
2021-02-24,54.7426
2021-02-23,54.8193
2021-02-22,56.1190
2021-02-19,55.8735
2021-02-18,55.6523
2021-02-17,56.7482
2021-02-12,56.6396
2021-02-11,57.1212
2021-02-10,56.3008
2021-02-09,57.1813
2021-02-08,57.9539
2021-02-05,58.1906
2021-02-04,57.7767
2021-02-03,57.9186
2021-02-02,58.0457
2021-02-01,57.7089
2021-01-29,57.1752
2021-01-28,58.3083
2021-01-27,57.5610
2021-01-26,58.9103
2021-01-22,58.6479
2021-01-21,59.0432
2021-01-20,58.9086
2021-01-19,58.5807
2021-01-18,59.3807
2021-01-15,58.4879
2021-01-14,58.1444
2021-01-13,58.4746
2021-01-12,59.7973
2021-01-11,60.8556
2021-01-08,58.2085
2021-01-07,52.0794
2021-01-06,52.1227
2021-01-05,53.3991
2021-01-04,54.1230
2020-12-30,54.5724
2020-12-29,55.2580
2020-12-28,54.5752
2020-12-23,54.3300
2020-12-22,54.4422
2020-12-21,53.7096
2020-12-18,53.3076
2020-12-17,53.8111
2020-12-16,53.5320
2020-12-15,53.2702
2020-12-14,53.4233
2020-12-11,53.5957
2020-12-10,53.6715
2020-12-09,53.7508
2020-12-08,53.6322
2020-12-07,53.1463
2020-12-04,53.6523
2020-12-03,53.3342
2020-12-02,53.1003
2020-12-01,52.0416
2020-11-30,51.4872
2020-11-27,51.8653
2020-11-26,52.2375
2020-11-25,52.9553
2020-11-24,52.3451
2020-11-23,52.6872
2020-11-20,52.1304
2020-11-19,52.3247
2020-11-18,52.5567
2020-11-17,52.8610
2020-11-16,53.6998
2020-11-13,53.9018
2020-11-12,52.1296
2020-11-11,51.9776
2020-11-10,52.1530
2020-11-09,53.2118
2020-11-06,53.9079
2020-11-05,53.5180
2020-11-04,53.1983
2020-11-03,51.6805
2020-10-30,51.0392
2020-10-29,51.7030
2020-10-28,51.1402
2020-10-27,51.5052
2020-10-26,51.3810
2020-10-23,50.5732
2020-10-22,51.3797
2020-10-21,51.0394
2020-10-20,50.9619
2020-10-19,50.8995
2020-10-16,50.8632
2020-10-15,51.6356
2020-10-14,52.2713
2020-10-13,51.6390
2020-10-09,50.8192
2020-10-08,51.3400
2020-10-07,50.9484
2020-10-06,50.6582
2020-10-05,51.2395
2020-10-02,50.6977
2020-10-01,51.3233
2020-09-30,51.0205
2020-09-29,50.4840
2020-09-28,50.6949
2020-09-25,52.0475
2020-09-24,52.1218
2020-09-23,51.7412
2020-09-22,52.3750
2020-09-21,52.6610
2020-09-18,52.7625
2020-09-17,52.8674
2020-09-16,53.7128
2020-09-15,53.5118
2020-09-14,54.1950
2020-09-11,53.1194
2020-09-10,54.2193
2020-09-09,55.2821
2020-09-08,54.9795
2020-09-04,55.1039
2020-09-03,55.0200
2020-09-02,54.8024
2020-09-01,55.1478
2020-08-31,55.0057
2020-08-28,55.1666
2020-08-27,54.8825
2020-08-26,54.6371
2020-08-25,53.8790
2020-08-24,53.5906
2020-08-21,53.4028
2020-08-20,52.2025
2020-08-19,52.0911
2020-08-18,52.7220
2020-08-17,52.3225
2020-08-14,52.7026
2020-08-13,52.5216
2020-08-12,52.2692
2020-08-11,53.1079
2020-08-10,53.4405
2020-08-07,54.1234
2020-08-06,54.1776
2020-08-05,53.3247
2020-08-04,52.7203
2020-08-03,53.6658
2020-07-31,53.0216
2020-07-30,53.8566
2020-07-29,53.3536
2020-07-28,53.5998
2020-07-27,53.2472
2020-07-24,53.6547
2020-07-23,53.3687
2020-07-22,54.3215
2020-07-21,53.8603
2020-07-20,54.1900
2020-07-17,53.6245
2020-07-16,52.1041
2020-07-15,52.5901
2020-07-14,52.5305
2020-07-13,51.6777
2020-07-10,52.4716
2020-07-09,52.9270
2020-07-08,52.8152
2020-07-07,52.7735
2020-07-06,53.3526
2020-07-03,53.2981
2020-07-02,53.1966
2020-07-01,54.2784
2020-06-30,54.1888
2020-06-29,54.1888
2020-06-26,53.6982
2020-06-25,53.6916
2020-06-24,53.2536
2020-06-23,53.6692
2020-06-22,52.9117
2020-06-19,53.1711
2020-06-18,52.6078
2020-06-17,52.6152
2020-06-16,52.5623
2020-06-15,52.5841
2020-06-12,52.9248
2020-06-10,52.9826
2020-06-09,52.8742
2020-06-08,53.0809
2020-06-05,53.0370
2020-06-04,52.5288
2020-06-03,52.6227
2020-06-02,52.7993
2020-06-01,52.3304
2020-05-29,52.5185
2020-05-28,52.6173
2020-05-27,52.5594
2020-05-26,52.5594
2020-05-25,51.6766
2020-05-22,50.7665
2020-05-21,50.7444
2020-05-20,50.4140
2020-05-19,50.3669
2020-05-18,50.3858
2020-05-15,49.4316
2020-05-14,49.5092
2020-05-13,49.6727
2020-05-12,50.0586
2020-05-11,49.8735
2020-05-08,50.4661
2020-05-07,50.7146
2020-05-06,50.0355
2020-05-05,50.1706
2020-05-04,49.8048
2020-04-30,50.2031
2020-04-29,50.8764
2020-04-28,50.5768
2020-04-27,50.2129
2020-04-24,49.3745
2020-04-23,50.0543
2020-04-22,50.8494
2020-04-20,51.0650
2020-04-17,50.4806
2020-04-16,50.2775
2020-04-15,50.2202
2020-04-14,50.6246
2020-04-13,49.0773
2020-04-09,49.4251
2020-04-08,48.8257
2020-04-07,48.3363
2020-04-06,46.6852
2020-04-03,44.5179
2020-04-02,46.0301
2020-04-01,45.6581
2020-03-31,46.7436
2020-03-30,47.7079
2020-03-27,47.6164
2020-03-26,49.3832
2020-03-25,47.6734
2020-03-24,46.0938
2020-03-23,44.2450
2020-03-20,44.3582
2020-03-19,42.7689
2020-03-18,41.6298
2020-03-17,44.2977
2020-03-16,43.9244
2020-03-13,45.8761
2020-03-12,43.6947
2020-03-11,46.6414
