time,RSI
2023-10-13,52.1264
2023-10-11,52.6297
2023-10-10,52.0769
2023-10-09,52.1285
2023-10-06,52.5410
2023-10-05,52.1348
2023-10-04,51.4545
2023-10-03,50.4658
2023-10-02,51.0394
2023-09-29,51.4692
2023-09-28,51.5373
2023-09-27,50.4010
2023-09-26,50.4846
2023-09-25,51.1576
2023-09-22,51.0284
2023-09-21,51.1456
2023-09-20,52.2145
2023-09-19,51.4815
2023-09-18,52.0834
2023-09-15,51.7655
2023-09-14,51.8671
2023-09-13,52.0523
2023-09-12,51.8355
2023-09-11,51.5879
2023-09-08,50.5170
2023-09-06,50.4533
2023-09-05,50.8755
2023-09-04,51.5490
2023-09-01,51.9642
2023-08-31,51.6247
2023-08-30,51.9923
2023-08-29,52.8975
2023-08-28,52.2266
2023-08-25,50.7913
2023-08-24,51.5154
2023-08-23,52.0622
2023-08-22,51.5209
2023-08-21,50.8423
2023-08-18,51.0274
2023-08-17,50.6880
2023-08-16,51.2236
2023-08-15,51.2572
2023-08-14,51.5076
2023-08-11,52.1801
2023-08-10,52.1027
2023-08-09,51.9642
2023-08-08,52.1301
2023-08-07,52.2291
2023-08-04,52.5918
2023-08-03,53.4606
2023-08-02,53.8329
2023-08-01,53.9852
2023-07-31,53.8848
2023-07-28,53.7167
2023-07-27,53.1127
2023-07-26,54.1792
2023-07-25,53.9504
2023-07-24,53.8649
2023-07-21,54.6351
2023-07-20,53.9116
2023-07-19,53.1577
2023-07-18,53.6591
2023-07-17,54.6110
2023-07-14,53.8144
2023-07-13,54.3293
2023-07-12,53.8778
2023-07-11,54.1684
2023-07-10,55.0507
2023-07-07,55.3834
2023-07-06,54.6117
2023-07-05,55.3665
2023-07-04,55.0086
2023-07-03,55.3249
2023-06-30,54.5486
2023-06-29,54.6398
2023-06-28,54.1477
2023-06-27,54.4227
2023-06-26,54.9757
2023-06-23,55.0449
2023-06-22,55.1998
2023-06-21,55.6820
2023-06-20,55.2953
2023-06-19,55.7771
2023-06-16,54.8645
2023-06-15,54.7388
2023-06-14,54.2203
2023-06-13,53.6806
2023-06-12,53.2353
2023-06-09,53.7301
2023-06-07,53.1846
2023-06-06,53.0692
2023-06-05,52.7958
2023-06-02,52.7095
2023-06-01,52.1476
2023-05-31,51.6074
2023-05-30,51.9091
2023-05-29,52.5087
2023-05-26,52.6990
2023-05-25,53.0321
2023-05-24,51.8412
2023-05-23,52.0774
2023-05-22,51.7728
2023-05-19,52.5764
2023-05-18,52.9271
2023-05-17,53.0865
2023-05-16,52.7058
2023-05-15,52.8473
2023-05-12,52.7076
2023-05-11,53.0970
2023-05-10,52.7375
2023-05-09,52.1935
2023-05-08,51.9690
2023-05-05,51.4611
2023-05-04,50.1123
2023-05-03,49.8153
2023-05-02,49.8741
2023-04-28,51.4053
2023-04-27,51.1905
2023-04-26,50.5313
2023-04-25,50.9247
2023-04-24,50.5878
2023-04-20,50.9340
2023-04-19,50.8326
2023-04-18,51.4490
2023-04-17,51.4791
2023-04-14,51.5539
2023-04-13,51.0329
2023-04-12,51.0329
2023-04-11,50.7947
2023-04-10,49.6534
2023-04-06,49.2749
2023-04-05,49.3880
2023-04-04,49.4160
2023-04-03,48.7234
2023-03-31,49.7204
2023-03-30,49.5222
2023-03-29,48.5601
2023-03-28,48.2196
2023-03-27,48.0569
2023-03-24,47.4623
2023-03-23,47.3579
2023-03-22,47.7985
2023-03-21,47.9851
2023-03-20,47.2868
2023-03-17,47.1990
2023-03-16,48.1105
2023-03-15,47.5437
2023-03-14,47.6229
2023-03-13,47.7279
2023-03-10,48.1087
2023-03-09,48.8940
2023-03-08,49.5456
2023-03-07,49.1120
2023-03-06,49.0140
2023-03-03,48.2392
2023-03-02,48.1967
2023-03-01,49.2923
2023-02-28,49.8810
2023-02-27,49.7321
2023-02-24,50.1840
2023-02-23,51.3168
2023-02-22,51.1821
2023-02-17,51.8929
2023-02-16,52.0215
2023-02-15,51.7583
2023-02-14,51.2418
2023-02-13,51.7055
2023-02-10,50.4822
2023-02-09,50.6497
2023-02-08,51.5815
2023-02-07,48.7079
2023-02-06,49.5396
2023-02-03,49.5249
2023-02-02,49.6539
2023-02-01,49.3199
2023-01-31,49.8177
2023-01-30,49.2269
2023-01-27,49.2123
2023-01-26,49.9760
2023-01-25,50.1901
2023-01-24,50.0629
2023-01-23,49.7384
2023-01-20,50.8771
2023-01-19,51.5636
2023-01-18,51.5636
2023-01-17,50.9145
2023-01-16,50.1688
2023-01-13,50.5706
2023-01-12,50.7574
2023-01-11,51.2914
2023-01-10,50.6665
2023-01-09,49.9747
2023-01-06,49.7182
2023-01-05,49.1012
2023-01-04,47.9993
2023-01-03,47.8951
2023-01-02,48.5977
2022-12-29,49.3138
2022-12-28,49.3595
2022-12-27,48.6321
2022-12-26,48.8265
2022-12-23,49.5265
2022-12-22,48.9615
2022-12-21,48.8888
2022-12-20,48.7443
2022-12-19,48.3689
2022-12-16,47.3254
2022-12-15,46.9366
2022-12-14,46.7421
2022-12-13,46.5929
2022-12-12,47.7988
2022-12-09,48.1102
2022-12-08,49.1021
2022-12-07,49.6993
2022-12-06,49.9638
2022-12-05,49.1313
2022-12-02,50.2108
2022-12-01,49.7136
2022-11-30,49.7417
2022-11-29,49.3481
2022-11-28,49.0354
2022-11-25,49.6843
2022-11-24,51.0358
2022-11-23,49.7100
2022-11-22,50.0998
2022-11-21,50.7419
2022-11-18,50.6280
2022-11-17,50.3296
2022-11-16,50.1021
2022-11-14,50.6476
2022-11-11,50.7628
2022-11-10,52.0670
2022-11-09,52.8677
2022-11-08,55.1163
2022-11-07,55.2637
2022-11-04,56.4093
2022-11-03,56.2662
2022-11-01,56.6344
2022-10-31,56.5577
2022-10-28,55.4152
2022-10-27,55.1091
2022-10-26,54.3949
2022-10-25,55.4329
2022-10-24,55.8345
2022-10-21,58.2921
2022-10-20,56.9622
2022-10-19,56.3279
2022-10-18,56.3141
2022-10-17,55.3176
2022-10-14,54.9884
2022-10-13,54.9740
2022-10-11,55.2692
2022-10-10,55.6170
2022-10-07,56.1592
2022-10-06,56.0771
2022-10-05,57.0281
2022-10-04,57.0281
2022-10-03,56.9619
2022-09-30,54.6213
2022-09-29,54.4070
2022-09-28,53.8072
2022-09-27,53.8242
2022-09-26,54.0966
2022-09-23,55.1494
2022-09-22,56.1606
2022-09-21,55.3501
2022-09-20,55.8886
2022-09-19,54.5462
2022-09-16,53.0076
2022-09-15,53.1679
2022-09-14,53.0585
2022-09-13,53.2343
2022-09-12,53.7278
2022-09-09,53.2218
2022-09-08,52.8974
2022-09-06,53.2282
2022-09-05,53.6651
2022-09-02,53.0082
2022-09-01,52.4494
2022-08-31,51.8510
2022-08-30,52.9841
2022-08-29,53.1956
2022-08-26,53.3538
2022-08-25,53.6345
2022-08-24,53.1311
2022-08-23,52.9625
2022-08-22,52.8557
2022-08-19,53.3698
2022-08-18,54.4717
2022-08-17,54.1346
2022-08-16,54.0318
2022-08-15,53.5748
2022-08-12,53.2335
2022-08-11,52.7551
2022-08-10,52.6952
2022-08-09,51.9718
2022-08-08,50.9508
2022-08-05,50.4611
2022-08-04,49.7238
2022-08-03,48.7719
2022-08-02,48.4890
2022-08-01,48.0713
2022-07-29,48.3040
2022-07-28,48.4003
2022-07-27,48.1541
2022-07-26,48.0232
2022-07-25,48.2190
2022-07-22,47.6664
2022-07-21,48.0397
2022-07-20,47.7316
2022-07-19,48.1781
2022-07-18,46.9166
2022-07-15,46.4134
2022-07-14,45.7344
2022-07-13,46.0958
2022-07-12,46.2260
2022-07-11,46.2979
2022-07-08,46.8316
2022-07-07,46.8153
2022-07-06,46.2901
2022-07-05,46.5889
2022-07-04,46.3276
2022-07-01,46.6383
2022-06-30,46.3468
2022-06-29,46.8995
2022-06-28,47.2404
2022-06-27,47.6115
2022-06-24,47.3911
2022-06-23,47.4476
2022-06-22,48.2296
2022-06-21,48.4884
2022-06-20,48.8635
2022-06-17,47.2795
2022-06-15,47.7098
2022-06-14,47.5524
2022-06-13,47.7804
2022-06-10,48.1950
2022-06-09,48.9784
2022-06-08,49.6144
2022-06-07,50.3518
2022-06-06,50.3518
2022-06-03,50.4869
2022-06-02,50.8470
2022-06-01,50.6875
2022-05-31,51.2568
2022-05-30,50.8864
2022-05-27,51.2452
2022-05-26,51.0459
2022-05-25,50.5889
2022-05-24,51.2851
2022-05-23,50.7280
2022-05-20,49.7805
2022-05-19,49.3203
2022-05-18,49.4361
2022-05-17,49.9583
2022-05-16,49.6365
2022-05-13,49.2546
2022-05-12,48.8261
2022-05-11,48.2594
2022-05-10,47.0681
2022-05-09,47.2338
2022-05-06,47.7046
2022-05-05,46.9345
2022-05-04,47.6994
2022-05-03,47.7414
2022-05-02,47.5586
2022-04-29,47.7239
2022-04-28,48.2954
2022-04-27,48.5744
2022-04-26,48.8539
2022-04-25,50.0950
2022-04-22,50.2403
2022-04-20,50.9867
2022-04-19,50.7452
2022-04-18,51.4389
2022-04-14,51.2282
2022-04-13,50.9897
2022-04-12,50.8918
2022-04-11,51.5767
2022-04-08,51.7233
2022-04-07,51.7962
2022-04-06,51.8251
2022-04-05,51.8393
2022-04-04,52.6316
2022-04-01,52.9960
2022-03-31,52.9186
2022-03-30,53.4012
2022-03-29,53.3251
2022-03-28,52.9196
2022-03-25,52.9480
2022-03-24,52.8853
2022-03-23,52.6604
2022-03-22,52.8269
2022-03-21,52.3672
2022-03-18,51.5462
2022-03-17,51.3034
2022-03-16,50.5804
2022-03-15,49.9366
2022-03-14,50.0552
2022-03-11,49.5944
2022-03-10,49.9594
2022-03-09,49.9334
2022-03-08,48.3490
2022-03-07,48.6435
2022-03-04,49.3291
2022-03-03,49.8277
2022-03-02,49.8012
2022-02-25,50.3589
2022-02-24,49.6660
2022-02-23,50.2313
2022-02-22,50.7098
2022-02-21,50.4241
2022-02-18,51.2613
2022-02-17,51.1331
2022-02-16,51.6306
2022-02-15,52.0096
2022-02-14,51.6962
2022-02-11,51.7766
2022-02-10,49.8738
2022-02-09,49.2442
2022-02-08,50.6099
2022-02-07,50.2349
2022-02-04,50.4245
2022-02-03,50.3183
2022-02-02,49.9340
2022-02-01,50.4672
2022-01-31,50.2569
2022-01-28,49.5173
2022-01-27,49.1146
2022-01-26,48.9533
2022-01-25,48.6040
2022-01-24,47.4538
2022-01-21,47.4914
2022-01-20,47.4777
2022-01-19,47.7123
2022-01-18,47.9096
2022-01-17,47.7223
2022-01-14,47.7223
2022-01-13,47.9395
2022-01-12,47.3730
2022-01-11,47.4920
2022-01-10,46.8175
2022-01-07,46.5375
2022-01-06,45.8795
2022-01-05,45.2807
2022-01-04,45.7592
2022-01-03,44.9225
2021-12-30,44.1393
2021-12-29,44.5112
2021-12-28,44.7130
2021-12-27,44.8024
2021-12-23,44.5003
2021-12-22,44.3496
2021-12-21,44.2405
2021-12-20,44.1999
2021-12-17,44.5531
2021-12-16,45.0717
2021-12-15,44.7801
2021-12-14,44.8551
2021-12-13,44.5793
2021-12-10,45.2081
2021-12-09,45.1691
2021-12-08,45.8246
2021-12-07,46.0633
2021-12-06,46.3785
2021-12-03,46.0381
2021-12-02,46.1240
2021-12-01,45.0587
2021-11-30,45.2273
2021-11-29,45.5038
2021-11-26,45.6616
2021-11-25,46.1263
2021-11-24,45.8661
2021-11-23,45.1159
2021-11-22,44.6476
2021-11-19,44.6288
2021-11-18,44.5363
2021-11-17,44.9106
2021-11-16,44.8018
2021-11-12,45.0365
2021-11-11,45.0853
2021-11-10,45.1337
2021-11-09,44.4615
2021-11-08,44.6801
2021-11-05,44.7940
2021-11-04,45.0590
2021-11-03,46.3088
2021-11-01,46.0447
2021-10-29,44.9666
2021-10-28,45.4938
2021-10-27,45.5425
2021-10-26,45.3340
2021-10-25,45.5837
2021-10-22,45.0537
2021-10-21,45.9593
2021-10-20,46.4610
2021-10-19,45.7133
2021-10-18,46.2942
2021-10-15,46.0988
2021-10-14,45.3814
2021-10-13,45.4974
2021-10-11,45.4629
2021-10-08,45.8751
2021-10-07,45.6710
2021-10-06,46.1787
2021-10-05,46.0892
2021-10-04,45.4261
2021-10-01,51.0406
2021-09-30,50.1945
2021-09-29,50.1427
2021-09-28,49.5535
2021-09-27,50.3153
2021-09-24,49.4527
2021-09-23,49.9165
2021-09-22,48.7751
2021-09-21,48.0053
2021-09-20,48.0848
2021-09-17,48.8048
2021-09-16,49.5985
2021-09-15,49.6220
2021-09-14,50.1749
2021-09-13,50.3877
2021-09-10,49.9674
2021-09-09,50.3074
2021-09-08,49.8650
2021-09-06,51.5756
2021-09-03,51.1346
2021-09-02,51.3418
2021-09-01,52.7348
2021-08-31,52.5983
2021-08-30,52.1253
2021-08-27,52.3996
2021-08-26,51.8060
2021-08-25,52.7452
2021-08-24,52.6999
2021-08-23,51.7386
2021-08-20,51.3659
2021-08-19,51.5014
2021-08-18,51.9821
2021-08-17,51.9137
2021-08-16,52.0483
2021-08-13,52.4968
2021-08-12,51.9229
2021-08-11,52.6310
2021-08-10,52.2531
2021-08-09,52.9792
2021-08-06,52.5812
2021-08-05,51.6354
2021-08-04,51.5329
2021-08-03,52.5876
2021-08-02,52.2501
2021-07-30,52.0445
2021-07-29,52.4300
2021-07-28,52.6261
2021-07-27,51.5389
2021-07-26,51.2075
2021-07-23,50.6197
2021-07-22,50.7146
2021-07-21,51.0700
2021-07-20,50.9339
2021-07-19,50.5019
2021-07-16,50.6996
2021-07-15,51.2603
2021-07-14,51.6848
2021-07-13,51.6408
2021-07-12,51.4435
2021-07-08,51.0039
2021-07-07,51.4535
2021-07-06,51.3119
2021-07-05,51.3691
2021-07-02,51.8370
2021-07-01,51.4956
2021-06-30,51.6201
2021-06-29,51.9992
2021-06-28,52.3400
2021-06-25,52.7390
2021-06-24,53.9134
2021-06-23,53.9033
2021-06-22,54.1727
2021-06-21,54.6664
2021-06-18,54.5198
2021-06-17,55.2268
2021-06-16,55.6915
2021-06-15,55.0677
2021-06-14,55.0677
2021-06-11,55.1966
2021-06-10,55.6538
2021-06-09,55.7946
2021-06-08,55.3755
2021-06-07,55.6425
2021-06-04,54.9318
2021-06-02,54.3022
2021-06-01,53.3043
2021-05-31,52.2309
2021-05-28,52.3152
2021-05-27,51.8232
2021-05-26,52.1003
2021-05-25,51.6911
2021-05-24,52.0765
2021-05-21,52.1110
2021-05-20,51.9707
2021-05-19,51.8109
2021-05-18,51.6018
2021-05-17,51.6653
2021-05-14,51.6862
2021-05-13,51.0672
2021-05-12,50.2661
2021-05-11,50.6871
2021-05-10,50.7487
2021-05-07,50.3404
2021-05-06,50.0104
2021-05-05,50.1805
2021-05-04,49.4189
2021-05-03,50.6184
2021-04-30,50.2340
2021-04-29,50.0075
2021-04-28,50.9145
2021-04-27,49.7797
2021-04-26,50.1523
2021-04-23,50.1727
2021-04-22,50.0419
2021-04-20,50.0318
2021-04-19,50.1709
2021-04-16,50.5886
2021-04-15,50.2862
2021-04-14,50.2862
2021-04-13,49.9472
2021-04-12,49.9569
2021-04-09,49.3181
2021-04-08,49.3559
2021-04-07,49.5533
2021-04-06,49.7785
2021-04-05,50.0791
2021-04-01,49.7505
2021-03-31,50.5693
2021-03-30,51.0812
2021-03-29,50.6564
2021-03-26,50.6658
2021-03-25,50.2793
2021-03-24,49.7872
2021-03-23,50.2316
2021-03-22,50.9063
2021-03-19,50.7607
2021-03-18,50.7065
2021-03-17,50.5627
2021-03-16,49.6079
2021-03-15,50.1191
2021-03-12,49.8266
2021-03-11,49.9898
2021-03-10,49.9538
2021-03-09,49.7745
2021-03-08,49.4427
2021-03-05,50.2238
2021-03-04,49.3323
2021-03-03,48.5866
2021-03-02,48.5311
2021-03-01,47.5968
2021-02-26,48.2624
2021-02-25,48.6528
2021-02-24,49.2669
2021-02-23,49.6228
2021-02-22,48.1009
2021-02-19,49.9311
2021-02-18,50.2040
2021-02-17,50.3919
2021-02-12,50.0680
2021-02-11,50.0034
2021-02-10,50.0034
2021-02-09,50.1853
2021-02-08,49.8875
2021-02-05,50.3572
2021-02-04,50.4657
2021-02-03,50.5737
2021-02-02,50.6989
2021-02-01,51.2554
2021-01-29,50.6039
2021-01-28,51.5415
2021-01-27,50.5429
2021-01-26,50.5429
2021-01-22,51.4388
2021-01-21,51.9856
2021-01-20,52.3679
2021-01-19,52.8467
2021-01-18,53.1959
2021-01-15,53.3468
2021-01-14,54.5242
2021-01-13,53.7519
2021-01-12,54.2663
2021-01-11,54.1844
2021-01-08,54.9047
2021-01-07,54.9144
2021-01-06,53.9163
2021-01-05,53.1652
2021-01-04,53.3565
2020-12-30,54.0470
2020-12-29,54.4897
2020-12-28,54.5578
2020-12-23,54.3724
2020-12-22,53.8131
2020-12-21,53.6909
2020-12-18,54.2210
2020-12-17,54.2684
2020-12-16,54.3060
2020-12-15,53.8393
2020-12-14,53.6167
2020-12-11,54.0034
2020-12-10,54.2338
2020-12-09,53.3879
2020-12-08,53.2447
2020-12-07,53.3167
2020-12-04,53.1756
2020-12-03,52.9409
2020-12-02,52.9584
2020-12-01,52.7806
2020-11-30,51.8478
2020-11-27,52.1779
2020-11-26,52.0052
2020-11-25,52.5347
2020-11-24,52.8355
2020-11-23,52.2087
2020-11-20,47.9074
2020-11-19,52.5027
2020-11-18,52.4665
2020-11-17,53.1880
2020-11-16,53.1702
2020-11-13,52.2766
2020-11-12,51.7940
2020-11-11,52.4881
2020-11-10,52.7279
2020-11-09,51.5872
2020-11-06,49.5932
2020-11-05,49.6225
2020-11-04,49.0358
2020-11-03,48.0613
2020-10-30,47.4686
2020-10-29,47.8511
2020-10-28,47.7276
2020-10-27,48.7852
2020-10-26,49.4993
2020-10-23,49.3183
2020-10-22,49.6413
2020-10-21,48.3625
2020-10-20,48.1349
2020-10-19,47.1599
2020-10-16,46.8943
2020-10-15,47.2518
2020-10-14,47.4497
2020-10-13,47.5153
2020-10-09,47.7303
2020-10-08,47.7954
2020-10-07,46.3777
2020-10-06,46.5330
2020-10-05,46.4912
2020-10-02,46.2420
2020-10-01,46.1697
2020-09-30,46.1492
2020-09-29,46.0321
2020-09-28,46.4666
2020-09-25,46.4752
2020-09-24,46.5786
2020-09-23,46.0337
2020-09-22,46.5638
2020-09-21,46.3666
2020-09-18,46.5367
2020-09-17,47.0404
2020-09-16,47.0115
2020-09-15,47.0708
2020-09-14,47.3411
2020-09-11,46.9453
2020-09-10,47.1793
2020-09-09,47.6156
2020-09-08,47.5880
2020-09-04,48.0574
2020-09-03,47.9849
2020-09-02,47.4488
2020-09-01,47.4899
2020-08-31,46.7694
2020-08-28,47.4755
2020-08-27,47.2477
2020-08-26,46.8921
2020-08-25,47.3050
2020-08-24,47.4510
2020-08-21,47.0918
2020-08-20,47.1237
2020-08-19,47.1237
2020-08-18,47.2177
2020-08-17,47.1307
2020-08-14,47.5475
2020-08-13,47.3505
2020-08-12,47.9081
2020-08-11,48.1341
2020-08-10,48.3678
2020-08-07,48.0933
2020-08-06,48.5189
2020-08-05,48.2220
2020-08-04,48.2373
2020-08-03,49.4726
2020-07-31,49.1463
2020-07-30,49.8628
2020-07-29,50.2473
2020-07-28,49.7277
2020-07-27,49.8545
2020-07-24,48.7788
2020-07-23,48.8022
2020-07-22,49.2461
2020-07-21,49.8048
2020-07-20,49.4208
