time,RSI
2023-10-13,43.3687
2023-10-11,43.8095
2023-10-10,43.6713
2023-10-09,43.2288
2023-10-06,43.1044
2023-10-05,43.2504
2023-10-04,43.4586
2023-10-03,42.9145
2023-10-02,43.2440
2023-09-29,43.8166
2023-09-28,43.8375
2023-09-27,43.1396
2023-09-26,43.2217
2023-09-25,43.8716
2023-09-22,43.9636
2023-09-21,44.0337
2023-09-20,44.7613
2023-09-19,44.6849
2023-09-18,45.5485
2023-09-15,45.7065
2023-09-14,46.2145
2023-09-13,46.4167
2023-09-12,46.1219
2023-09-11,45.8022
2023-09-08,45.5191
2023-09-06,45.5703
2023-09-05,46.0839
2023-09-04,46.4674
2023-09-02,46.8115
2023-09-01,46.8115
2023-08-31,45.9317
2023-08-30,46.3522
2023-08-29,46.6202
2023-08-28,46.6202
2023-08-25,46.5153
2023-08-24,46.7987
2023-08-23,47.3287
2023-08-22,47.0662
2023-08-21,46.9865
2023-08-18,47.2378
2023-08-17,46.9570
2023-08-16,47.3360
2023-08-15,47.2805
2023-08-14,47.4090
2023-08-11,48.3492
2023-08-10,48.5621
2023-08-09,48.1095
2023-08-08,48.9729
2023-08-07,48.8124
2023-08-04,49.4488
2023-08-03,48.2972
2023-08-02,48.7596
2023-08-01,48.3790
2023-07-31,48.4809
2023-07-28,48.3625
2023-07-27,48.3517
2023-07-26,48.7210
2023-07-25,48.3410
2023-07-24,48.5587
2023-07-21,47.9682
2023-07-20,47.5209
2023-07-19,47.4144
2023-07-18,47.7310
2023-07-17,47.5734
2023-07-14,47.4375
2023-07-13,48.0255
2023-07-12,48.1397
2023-07-11,48.4155
2023-07-10,48.6438
2023-07-07,49.9255
2023-07-06,49.3043
2023-07-05,49.9474
2023-07-04,49.7777
2023-07-03,49.7876
2023-06-30,49.5015
2023-06-29,50.8773
2023-06-28,50.4259
2023-06-27,50.5859
2023-06-26,50.9560
2023-06-23,51.6280
2023-06-22,50.7548
2023-06-21,51.1161
2023-06-20,50.9433
2023-06-19,50.1679
2023-06-16,49.7253
2023-06-15,50.4548
2023-06-14,50.8741
2023-06-13,50.8841
2023-06-12,52.2213
2023-06-09,51.2705
2023-06-07,51.0953
2023-06-06,50.5773
2023-06-05,49.9837
2023-06-02,49.9340
2023-06-01,50.0224
2023-05-31,48.9180
2023-05-30,48.7868
2023-05-29,49.1425
2023-05-26,49.4804
2023-05-25,48.9441
2023-05-24,47.8172
2023-05-23,48.0347
2023-05-22,48.3280
2023-05-19,48.7847
2023-05-18,48.2195
2023-05-17,47.9862
2023-05-16,46.2771
2023-05-15,46.6099
2023-05-12,46.0551
2023-05-11,46.1463
2023-05-10,46.6777
2023-05-09,46.6777
2023-05-08,45.9414
2023-05-06,46.0313
2023-05-05,46.0313
2023-05-04,44.4986
2023-05-03,43.5172
2023-05-02,43.8189
2023-04-29,44.6239
2023-04-28,44.6239
2023-04-27,43.7095
2023-04-26,43.6761
2023-04-25,43.4445
2023-04-24,43.7243
2023-04-20,43.7920
2023-04-19,43.7812
2023-04-18,44.5246
2023-04-17,45.1194
2023-04-14,44.6526
2023-04-13,45.1275
2023-04-12,45.4232
2023-04-11,45.1196
2023-04-10,43.5765
2023-04-05,43.0371
2023-04-04,43.3891
2023-04-03,43.4059
2023-03-31,44.3892
2023-03-30,45.3269
2023-03-29,44.6343
2023-03-28,45.4085
2023-03-27,44.7653
2023-03-24,44.4469
2023-03-23,44.2604
2023-03-22,44.6532
2023-03-21,44.9428
2023-03-20,44.5953
2023-03-17,45.1233
2023-03-16,45.6763
2023-03-15,45.5084
2023-03-14,45.4353
2023-03-13,46.0907
2023-03-10,45.7914
2023-03-09,46.1412
