time,RSI
2023-10-13,42.7859
2023-10-11,43.1655
2023-10-10,43.5051
2023-10-09,42.7809
2023-10-06,42.3304
2023-10-05,42.4545
2023-10-04,42.7856
2023-10-03,42.5082
2023-10-02,43.2134
2023-09-29,43.6776
2023-09-28,43.2939
2023-09-27,43.2392
2023-09-26,43.4883
2023-09-25,43.6961
2023-09-22,44.0712
2023-09-21,44.5339
2023-09-20,45.2608
2023-09-19,45.2608
2023-09-18,45.5178
2023-09-15,45.0025
2023-09-14,45.4279
2023-09-13,45.5986
2023-09-12,45.5986
2023-09-11,45.2457
2023-09-08,45.0441
2023-09-06,45.3750
2023-09-05,45.7912
2023-09-04,46.1685
2023-09-02,46.5058
2023-09-01,46.5058
2023-08-31,46.0227
2023-08-30,46.6906
2023-08-29,46.7325
2023-08-28,46.7325
2023-08-25,46.6856
2023-08-24,47.0966
2023-08-23,47.2614
2023-08-22,47.1699
2023-08-21,47.2105
2023-08-18,46.9849
2023-08-17,46.1651
2023-08-16,46.7616
2023-08-15,45.8378
2023-08-14,46.1151
2023-08-11,46.2734
2023-08-10,46.1361
2023-08-09,46.6079
2023-08-08,46.6867
2023-08-07,46.7649
2023-08-04,46.9597
2023-08-03,47.3503
2023-08-02,48.0224
2023-08-01,48.4227
2023-07-31,48.0799
2023-07-28,47.2998
2023-07-27,47.2998
2023-07-26,46.9526
2023-07-25,46.8660
2023-07-24,46.6070
2023-07-21,46.6445
2023-07-20,46.1293
2023-07-19,46.2768
2023-07-18,46.3501
2023-07-17,46.3501
2023-07-14,46.3084
2023-07-13,46.5592
2023-07-12,46.3950
2023-07-11,46.6790
2023-07-10,46.6385
2023-07-07,47.0980
2023-07-06,46.9787
2023-07-05,47.9060
2023-07-04,47.7489
2023-07-03,47.9997
2023-06-30,47.7279
2023-06-29,48.0118
2023-06-28,47.6263
2023-06-27,47.7314
2023-06-26,47.8010
2023-06-23,48.4306
2023-06-22,48.3932
2023-06-21,49.0622
2023-06-20,48.7670
2023-06-19,48.9425
2023-06-16,48.8696
2023-06-15,49.0081
2023-06-14,49.2153
2023-06-13,49.0376
2023-06-12,49.7266
2023-06-09,49.7612
2023-06-07,49.4477
2023-06-06,49.8239
2023-06-05,49.4779
2023-06-02,50.0588
2023-06-01,50.0588
2023-05-31,49.1642
2023-05-30,48.9204
2023-05-29,49.1203
2023-05-26,49.2199
2023-05-25,49.0153
2023-05-24,48.5707
2023-05-23,48.6676
2023-05-22,49.1206
2023-05-19,48.5791
2023-05-18,48.2382
2023-05-17,47.6194
2023-05-16,47.6821
2023-05-15,51.0067
2023-05-12,50.7688
2023-05-11,50.9087
2023-05-10,50.7071
2023-05-09,50.2009
2023-05-08,49.2726
2023-05-06,49.0637
2023-05-05,49.0637
2023-05-04,48.2279
2023-05-03,47.4092
2023-05-02,47.0487
2023-04-29,47.3701
2023-04-28,47.3701
2023-04-27,46.8722
2023-04-26,46.5503
2023-04-25,47.0837
2023-04-24,47.4319
2023-04-20,47.1151
2023-04-19,46.9393
2023-04-18,47.8530
2023-04-17,48.2376
2023-04-14,48.4949
2023-04-13,48.8820
2023-04-12,48.9465
2023-04-11,48.6110
2023-04-10,47.1319
2023-04-06,47.1944
2023-04-05,46.8804
2023-04-04,46.6710
2023-04-03,46.9458
2023-03-31,46.9458
2023-03-30,47.3403
2023-03-29,47.0352
2023-03-28,47.1253
2023-03-27,46.9913
2023-03-24,46.6230
2023-03-23,46.2194
2023-03-22,47.6460
2023-03-21,47.9820
2023-03-20,48.0125
2023-03-17,48.2247
2023-03-16,48.5587
2023-03-15,48.3009
2023-03-14,48.0432
2023-03-13,48.0111
2023-03-10,46.9740
2023-03-09,46.9413
2023-03-08,47.0563
2023-03-07,46.3731
2023-03-06,46.2750
2023-03-03,45.7182
2023-03-02,46.0798
2023-03-01,46.3029
2023-02-28,47.3236
2023-02-27,47.4963
2023-02-24,47.3695
2023-02-23,47.2117
2023-02-22,47.0861
2023-02-17,47.4776
2023-02-16,47.9001
2023-02-15,48.1262
2023-02-14,48.6089
2023-02-13,48.8085
2023-02-10,48.3889
2023-02-09,48.7278
2023-02-08,49.0395
2023-02-07,48.5358
2023-02-06,48.7603
2023-02-03,49.1542
2023-02-02,49.3516
2023-02-01,49.2074
2023-01-31,49.5988
2023-01-30,49.3996
2023-01-27,49.8736
2023-01-26,49.1634
2023-01-25,49.3572
2023-01-24,49.4676
2023-01-23,48.4696
2023-01-20,47.8285
2023-01-19,47.7993
2023-01-18,47.0653
2023-01-17,47.6758
2023-01-16,47.8361
2023-01-13,46.5920
2023-01-12,45.8615
2023-01-11,45.3683
2023-01-10,45.4195
2023-01-09,44.7404
2023-01-06,44.5230
2023-01-05,44.2125
2023-01-04,43.8705
2023-01-03,43.8395
2023-01-02,43.9596
2022-12-29,44.3204
2022-12-28,44.1692
2022-12-27,43.6542
2022-12-26,43.9850
2022-12-23,44.0321
2022-12-22,43.7934
2022-12-21,43.8165
2022-12-20,44.3031
2022-12-19,43.6839
2022-12-16,42.9666
2022-12-15,43.4922
2022-12-14,43.5610
2022-12-13,43.9511
2022-12-12,43.9511
2022-12-09,43.9511
2022-12-08,44.0411
2022-12-07,44.2656
2022-12-06,44.6712
2022-12-05,44.5595
2022-12-02,44.9188
2022-12-01,44.5313
2022-11-30,45.2288
2022-11-29,45.0915
2022-11-28,44.9823
2022-11-25,45.2049
2022-11-24,45.6071
2022-11-23,45.0151
2022-11-22,44.9072
2022-11-21,44.9946
2022-11-18,44.3781
2022-11-17,44.8980
2022-11-16,44.7377
2022-11-14,45.3690
2022-11-11,44.9447
2022-11-10,46.0966
2022-11-09,47.2257
2022-11-08,47.6026
2022-11-07,47.3687
2022-11-04,48.0530
2022-11-03,48.1480
2022-11-01,47.3495
2022-10-31,47.1154
2022-10-28,46.8816
2022-10-27,46.4651
2022-10-26,45.6475
2022-10-25,46.5095
2022-10-24,45.9511
2022-10-21,46.1099
2022-10-20,45.9514
2022-10-19,46.1755
2022-10-18,46.4672
2022-10-17,46.5793
2022-10-14,46.5793
2022-10-13,47.8225
2022-10-11,48.4038
2022-10-10,48.7559
2022-10-07,48.7313
2022-10-06,48.8707
2022-10-05,48.2601
2022-10-04,48.1865
2022-10-03,47.7456
2022-09-30,46.6721
2022-09-29,45.5650
2022-09-28,46.1831
2022-09-27,45.7931
2022-09-26,46.4597
2022-09-23,46.7969
2022-09-22,46.7203
2022-09-21,47.0555
2022-09-20,46.3184
2022-09-19,46.5396
2022-09-16,46.2856
2022-09-15,45.9808
2022-09-14,46.2624
2022-09-13,46.7640
2022-09-12,46.9612
2022-09-09,45.9326
2022-09-08,45.7038
2022-09-06,44.9607
2022-09-05,45.6431
2022-09-02,45.4895
