time,RSI
2023-10-13,58.4907
2023-10-11,57.1248
2023-10-10,56.9780
2023-10-09,57.2204
2023-10-06,56.8570
2023-10-05,56.1640
2023-10-04,55.9703
2023-10-03,56.2352
2023-10-02,55.4449
2023-09-29,55.5011
2023-09-28,55.1638
2023-09-27,55.3855
2023-09-26,55.6529
2023-09-25,56.4438
2023-09-22,56.6031
2023-09-21,57.1952
2023-09-20,56.3923
2023-09-19,54.8115
2023-09-18,54.2434
2023-09-15,54.6910
2023-09-14,53.6659
2023-09-13,52.8701
2023-09-12,52.8884
2023-09-11,52.6443
2023-09-09,51.6776
2023-09-08,51.6776
2023-09-06,52.6316
2023-09-05,53.3771
2023-09-04,53.6558
2023-09-02,53.7762
2023-09-01,53.7762
2023-08-31,53.0210
2023-08-30,53.6421
2023-08-29,53.9364
2023-08-28,53.2620
2023-08-25,52.9410
2023-08-24,52.4968
2023-08-23,52.6130
2023-08-22,52.9432
2023-08-21,53.1485
2023-08-18,53.6860
2023-08-17,53.4686
2023-08-16,53.0870
2023-08-15,53.2016
2023-08-14,53.9825
2023-08-11,53.4054
2023-08-10,52.7643
2023-08-09,52.7251
2023-08-08,53.1185
2023-08-07,53.7985
2023-08-04,53.6076
2023-08-03,53.1244
2023-08-02,51.7421
2023-08-01,52.1686
2023-07-31,51.9204
2023-07-28,51.2253
2023-07-27,51.2172
2023-07-26,50.6233
2023-07-25,49.5912
2023-07-24,49.4139
2023-07-21,48.5957
2023-07-20,48.2417
2023-07-19,48.0864
2023-07-18,48.9758
2023-07-17,48.8310
2023-07-14,48.9523
2023-07-13,48.8012
2023-07-12,48.6423
2023-07-11,48.5341
2023-07-10,48.5175
2023-07-07,48.8904
2023-07-06,48.5643
2023-07-05,48.8265
2023-07-04,49.0424
2023-07-03,48.6328
2023-06-30,48.6328
2023-06-29,48.4976
2023-06-28,48.5870
2023-06-27,49.0870
2023-06-26,49.6687
2023-06-23,49.9196
2023-06-22,49.8588
2023-06-21,50.3276
2023-06-20,51.0636
2023-06-19,51.2646
2023-06-16,51.7298
2023-06-15,51.7608
2023-06-14,50.5205
2023-06-13,50.8267
2023-06-12,50.5672
2023-06-09,49.4656
2023-06-07,49.9106
2023-06-06,50.7610
2023-06-05,50.6635
2023-06-02,50.3718
2023-06-01,49.2907
2023-05-31,49.1208
2023-05-30,49.3740
2023-05-29,49.5674
2023-05-26,49.5449
2023-05-25,48.6109
2023-05-24,48.9537
2023-05-23,49.8950
2023-05-22,49.3790
2023-05-19,49.5573
2023-05-18,49.5047
2023-05-17,48.2675
2023-05-16,48.2520
2023-05-15,47.6308
2023-05-12,47.2626
2023-05-11,46.5743
2023-05-10,46.6574
2023-05-09,46.5077
2023-05-08,46.7607
2023-05-06,46.5585
2023-05-05,46.5585
2023-05-04,44.9745
2023-05-03,45.3052
2023-05-02,45.6910
2023-04-29,44.9873
2023-04-28,44.9873
2023-04-27,43.5202
2023-04-26,43.6868
2023-04-25,44.0334
2023-04-24,44.5978
2023-04-20,45.0113
2023-04-19,45.6028
2023-04-18,45.5869
2023-04-17,45.0219
2023-04-14,45.0414
2023-04-13,45.5774
2023-04-12,46.1677
2023-04-11,46.4016
2023-04-10,45.2960
2023-04-06,44.6709
2023-04-05,45.0762
2023-04-04,45.9890
2023-04-03,46.2530
2023-03-31,45.3452
2023-03-30,46.3306
2023-03-29,46.3443
2023-03-28,45.7142
