time,RSI
2023-10-13,47.9302
2023-10-11,48.3127
2023-10-10,48.0033
2023-10-09,47.7898
2023-10-06,48.0240
2023-10-05,47.5148
2023-10-04,47.4989
2023-10-03,47.8387
2023-10-02,48.0352
2023-09-29,48.3179
2023-09-28,47.8648
2023-09-27,47.3455
2023-09-26,47.2727
2023-09-25,47.7583
2023-09-22,48.4211
2023-09-21,48.1668
2023-09-20,49.0334
2023-09-19,48.8016
2023-09-18,48.7364
2023-09-15,49.1272
2023-09-14,49.4046
2023-09-13,48.0219
2023-09-12,48.1446
2023-09-11,48.1680
2023-09-08,47.6840
2023-09-06,48.2791
2023-09-05,48.8020
2023-09-04,48.9438
2023-09-01,48.6928
2023-08-31,46.7573
2023-08-30,46.7051
2023-08-29,46.6999
2023-08-28,45.6493
2023-08-25,45.1755
2023-08-24,45.2325
2023-08-23,45.6007
2023-08-22,45.3596
2023-08-21,44.6842
2023-08-18,44.6419
2023-08-17,44.9356
2023-08-16,44.4849
2023-08-15,44.5857
2023-08-14,44.8414
2023-08-11,45.5586
2023-08-10,45.7875
2023-08-09,46.1169
2023-08-08,46.3725
2023-08-07,46.5564
2023-08-04,47.2718
2023-08-03,47.2475
2023-08-02,47.0440
2023-08-01,47.5236
2023-07-31,47.9421
2023-07-28,47.2086
2023-07-27,48.4408
2023-07-26,49.0496
2023-07-25,49.1637
2023-07-24,48.1315
2023-07-21,47.1227
2023-07-20,46.9183
2023-07-19,46.8439
2023-07-18,46.9221
2023-07-17,47.1079
2023-07-14,47.4368
2023-07-13,47.4368
2023-07-12,46.6881
2023-07-11,46.4607
2023-07-10,45.4209
2023-07-07,45.8366
2023-07-06,45.5355
2023-07-05,45.7294
2023-07-04,45.9685
2023-07-03,46.1043
2023-06-30,45.1269
2023-06-29,45.6529
2023-06-28,45.2661
2023-06-27,46.1344
2023-06-26,45.7487
2023-06-23,45.6804
2023-06-22,45.9543
2023-06-21,46.1013
2023-06-20,46.3788
2023-06-19,47.1178
2023-06-16,47.2302
2023-06-15,47.1794
2023-06-14,46.9310
2023-06-13,46.3810
2023-06-12,46.0507
2023-06-09,46.5464
2023-06-07,46.6708
2023-06-06,46.1795
2023-06-05,46.0784
2023-06-02,46.2976
2023-06-01,45.0120
2023-05-31,44.3718
2023-05-30,44.5505
2023-05-29,45.1444
2023-05-26,45.3374
2023-05-25,44.6439
2023-05-24,44.7198
2023-05-23,45.2954
2023-05-22,45.8918
2023-05-19,46.3271
2023-05-18,46.6308
2023-05-17,46.5858
2023-05-16,45.5674
2023-05-15,46.1192
2023-05-12,45.6697
2023-05-11,45.6376
2023-05-10,46.1579
2023-05-09,46.6769
2023-05-08,46.3536
2023-05-06,45.9345
2023-05-05,45.9345
2023-05-04,44.9462
2023-05-03,45.7591
2023-05-02,45.9667
2023-04-29,47.0872
2023-04-28,47.0872
2023-04-27,46.8028
2023-04-26,46.1355
2023-04-25,46.0140
2023-04-24,46.7721
2023-04-20,47.8472
2023-04-19,48.4971
2023-04-18,49.4549
2023-04-17,49.1641
2023-04-14,49.5601
2023-04-13,49.8562
2023-04-12,50.3196
2023-04-11,51.0786
2023-04-10,49.3022
2023-04-06,48.6405
2023-04-05,48.7001
2023-04-04,49.1895
2023-04-03,50.1750
2023-03-31,50.1663
2023-03-30,50.8393
2023-03-29,50.2739
2023-03-28,49.7762
2023-03-27,49.4113
2023-03-24,49.4670
2023-03-23,49.8567
2023-03-22,50.7705
2023-03-21,51.2265
2023-03-20,51.5379
2023-03-17,51.2529
2023-03-16,50.8404
2023-03-15,50.7141
2023-03-14,51.8264
2023-03-13,51.5111
2023-03-10,51.3687
2023-03-09,51.4885
2023-03-08,51.9693
2023-03-07,51.6587
2023-03-06,52.0088
2023-03-03,53.3846
