time,RSI
2021-10-15,42.8199
2021-10-14,42.5440
2021-10-13,42.8511
2021-10-11,42.2617
2021-10-08,42.4785
2021-10-07,41.9477
2021-10-06,42.4214
2021-10-05,41.8898
2021-10-04,41.5933
2021-10-01,42.4366
2021-09-30,41.2779
2021-09-29,41.4917
2021-09-28,41.5628
2021-09-27,41.8323
2021-09-24,42.4053
2021-09-23,42.5351
2021-09-22,42.4964
2021-09-21,42.7962
2021-09-20,41.0515
2021-09-17,41.8610
2021-09-16,42.1934
2021-09-15,42.3236
2021-09-14,42.7150
2021-09-13,42.9334
2021-09-10,42.5846
2021-09-09,43.2829
2021-09-08,42.3470
2021-09-06,43.7311
2021-09-03,43.0776
2021-09-02,43.1076
2021-09-01,44.0660
2021-08-31,44.2515
2021-08-30,44.8275
2021-08-27,44.9999
2021-08-26,45.0311
2021-08-25,45.6257
2021-08-24,45.6728
2021-08-23,44.7308
2021-08-20,45.4644
2021-08-19,45.3322
2021-08-18,44.4755
2021-08-17,44.1869
2021-08-16,44.2021
2021-08-13,45.2632
2021-08-12,46.4964
2021-08-11,48.0970
2021-08-10,47.6841
2021-08-09,47.5150
2021-08-06,46.8345
2021-08-05,46.4719
2021-08-04,46.6210
2021-08-03,47.1368
2021-08-02,47.4216
2021-07-30,47.1613
2021-07-29,48.1904
2021-07-28,48.3102
2021-07-27,48.2738
2021-07-26,49.1117
2021-07-23,49.7220
2021-07-22,50.0564
2021-07-21,49.8279
2021-07-20,49.6172
2021-07-19,49.6516
2021-07-16,50.6067
2021-07-15,50.8356
2021-07-14,51.0641
2021-07-13,51.0641
2021-07-12,50.8475
2021-07-08,51.0540
2021-07-07,51.5725
2021-07-06,51.3278
2021-07-05,52.1627
2021-07-02,52.3735
2021-07-01,52.1501
2021-06-30,52.7272
2021-06-29,53.1329
2021-06-28,53.1506
2021-06-25,52.6693
2021-06-24,52.7558
2021-06-23,52.8074
2021-06-22,53.0296
2021-06-21,52.7571
2021-06-18,51.8662
2021-06-17,51.6951
2021-06-16,51.1009
2021-06-15,51.2323
2021-06-14,51.2975
2021-06-11,50.9884
2021-06-10,50.9268
2021-06-09,51.7650
2021-06-08,52.1079
2021-06-07,51.1312
2021-06-04,50.9766
2021-06-02,50.6674
2021-06-01,49.8694
2021-05-31,48.4782
2021-05-28,48.0466
2021-05-27,48.0466
2021-05-26,47.6998
2021-05-25,47.5678
2021-05-24,47.6124
2021-05-21,46.6380
2021-05-20,46.6963
2021-05-19,46.8995
2021-05-18,46.8013
2021-05-17,46.7850
2021-05-14,46.9980
2021-05-13,47.1255
2021-05-12,46.2925
2021-05-11,46.8831
2021-05-10,46.7389
2021-05-07,46.9210
2021-05-06,46.6042
2021-05-05,46.7978
2021-05-04,46.5465
2021-05-03,46.4370
2021-04-30,46.3748
2021-04-29,46.7373
2021-04-28,46.8986
2021-04-27,46.8078
2021-04-26,47.7379
2021-04-23,48.1082
2021-04-22,47.3747
2021-04-20,47.4289
2021-04-19,47.6041
2021-04-16,47.5303
2021-04-15,47.6366
2021-04-14,47.5640
2021-04-13,47.3184
2021-04-12,47.2608
2021-04-09,47.1179
2021-04-08,47.6939
2021-04-07,46.8214
2021-04-06,46.8849
2021-04-05,47.0871
2021-04-01,46.7031
2021-03-31,46.4466
2021-03-30,46.7809
2021-03-29,46.0259
2021-03-26,46.2219
2021-03-25,46.3073
2021-03-24,45.4521
2021-03-23,46.2668
2021-03-22,46.2241
2021-03-19,46.3213
2021-03-18,45.5415
2021-03-17,46.2428
2021-03-16,45.9730
2021-03-15,46.2634
2021-03-12,45.6402
2021-03-11,46.2680
2021-03-10,45.9709
2021-03-09,44.3310
2021-03-08,45.0011
2021-03-05,45.5982
2021-03-04,45.6962
2021-03-03,45.4204
2021-03-02,45.5409
2021-03-01,45.6488
2021-02-26,45.3067
2021-02-25,46.2189
2021-02-24,47.0079
2021-02-23,46.8957
2021-02-22,46.5456
2021-02-19,47.8704
2021-02-18,48.5022
2021-02-17,48.6709
2021-02-12,48.4799
2021-02-11,48.6335
2021-02-10,48.2956
2021-02-09,49.0365
2021-02-08,49.4117
2021-02-05,49.2260
2021-02-04,49.1204
2021-02-03,49.2218
2021-02-02,49.4745
2021-02-01,48.2916
2021-01-29,48.6802
2021-01-28,49.4427
2021-01-27,47.9357
2021-01-26,48.3819
2021-01-22,47.9295
2021-01-21,48.0178
2021-01-20,48.4092
2021-01-19,48.0713
2021-01-18,48.3472
2021-01-15,48.3972
2021-01-14,48.7968
2021-01-13,48.7313
2021-01-12,49.1294
2021-01-11,49.0650
2021-01-08,49.5742
2021-01-07,48.9991
2021-01-06,49.5335
2021-01-05,50.4327
2021-01-04,50.3699
2020-12-30,50.3574
2020-12-29,50.8885
2020-12-28,50.9011
2020-12-23,50.3388
2020-12-22,50.1052
2020-12-21,50.3645
2020-12-18,51.2014
2020-12-17,51.3906
2020-12-16,51.5542
2020-12-15,51.4601
2020-12-14,51.2374
2020-12-11,51.2257
2020-12-10,51.4694
2020-12-09,51.7007
2020-12-08,52.3007
2020-12-07,51.9968
2020-12-04,52.0942
2020-12-03,51.7588
2020-12-02,51.6583
2020-12-01,51.6938
2020-11-30,52.4078
2020-11-27,53.3067
2020-11-26,54.2022
2020-11-25,53.6562
2020-11-24,53.3757
2020-11-23,52.6777
2020-11-20,52.7877
2020-11-19,52.8484
2020-11-18,52.5023
2020-11-17,52.8021
2020-11-16,52.7487
2020-11-13,52.7842
2020-11-12,52.6896
2020-11-11,53.9734
2020-11-10,52.9219
2020-11-09,53.7732
2020-11-06,54.6181
2020-11-05,54.5141
2020-11-04,53.3927
2020-11-03,52.3615
2020-10-30,52.4104
2020-10-29,53.7634
2020-10-28,52.9245
2020-10-27,54.7223
2020-10-26,55.7061
2020-10-23,56.6452
2020-10-22,56.5172
2020-10-21,56.4747
2020-10-20,56.2529
2020-10-19,55.5152
2020-10-16,55.7039
2020-10-15,55.8246
2020-10-14,55.6236
2020-10-13,55.8487
2020-10-09,55.2902
2020-10-08,54.7340
2020-10-07,54.2135
2020-10-06,54.5499
2020-10-05,54.2255
2020-10-02,53.6136
2020-10-01,54.3326
2020-09-30,53.7625
2020-09-29,53.3412
2020-09-28,53.7495
2020-09-25,54.3026
2020-09-24,53.5544
2020-09-23,53.4323
2020-09-22,54.2669
2020-09-21,54.1250
2020-09-18,54.1033
2020-09-17,54.9389
2020-09-16,55.0425
2020-09-15,55.5479
2020-09-14,55.3606
2020-09-11,54.9324
2020-09-10,55.0089
2020-09-09,55.6349
2020-09-08,55.2646
2020-09-04,56.2326
2020-09-03,56.6121
2020-09-02,58.5273
2020-09-01,58.3899
2020-08-31,58.4310
2020-08-28,58.1591
2020-08-27,58.3480
2020-08-26,58.2809
2020-08-25,58.8303
2020-08-24,58.4997
2020-08-21,57.9166
2020-08-20,57.7334
2020-08-19,57.4731
2020-08-18,57.1732
2020-08-17,55.7483
2020-08-14,57.1435
2020-08-13,57.3850
2020-08-12,56.7620
2020-08-11,57.5410
