time,RSI
2023-10-13,47.2211
2023-10-11,47.9549
2023-10-10,48.1076
2023-10-09,47.5351
2023-10-06,47.4713
2023-10-05,47.6778
2023-10-04,47.8840
2023-10-03,47.8954
2023-10-02,49.0271
2023-09-29,49.1679
2023-09-28,49.3082
2023-09-27,48.8630
2023-09-26,48.9320
2023-09-25,48.9890
2023-09-22,47.0324
2023-09-21,47.4711
2023-09-20,48.3993
2023-09-19,48.6201
2023-09-18,48.3870
2023-09-15,48.7450
2023-09-14,48.7208
2023-09-13,49.7073
2023-09-12,48.1418
2023-09-11,47.6758
2023-09-09,47.8138
2023-09-08,47.8138
2023-09-06,47.9839
2023-09-05,48.3931
2023-09-04,48.6440
2023-09-02,48.4273
2023-09-01,48.4273
2023-08-31,48.3443
2023-08-30,48.8112
2023-08-29,49.0232
2023-08-28,49.1679
2023-08-25,48.8691
2023-08-24,48.4306
2023-08-23,48.9446
2023-08-22,48.9665
2023-08-21,48.4760
2023-08-18,48.7131
2023-08-17,49.4204
2023-08-16,50.1975
2023-08-15,52.2179
2023-08-14,52.1741
2023-08-11,52.7607
2023-08-10,53.2935
2023-08-09,53.9555
2023-08-08,53.8293
2023-08-07,54.1598
2023-08-04,54.0771
2023-08-03,53.6424
2023-08-02,53.2247
2023-08-01,53.0468
2023-07-31,53.1174
2023-07-28,53.5881
2023-07-27,53.6235
2023-07-26,53.7754
2023-07-25,53.7985
2023-07-24,55.0213
2023-07-21,52.2858
2023-07-20,51.3178
2023-07-19,51.0380
2023-07-18,48.7392
2023-07-17,47.9532
2023-07-14,48.7628
2023-07-13,48.8328
2023-07-12,48.8328
2023-07-11,48.7006
2023-07-10,49.0887
2023-07-07,49.9112
2023-07-06,49.7822
2023-07-05,50.4964
2023-07-04,50.1365
2023-07-03,50.7255
2023-06-30,50.7963
2023-06-29,49.7418
2023-06-28,49.4352
2023-06-27,49.3410
2023-06-26,49.2241
2023-06-23,49.4502
2023-06-22,49.1516
2023-06-21,49.2072
2023-06-20,49.7646
2023-06-19,50.5815
2023-06-16,50.7878
2023-06-15,50.7768
2023-06-14,50.8106
2023-06-13,50.2412
2023-06-12,50.6880
2023-06-09,50.7439
2023-06-07,51.1344
2023-06-06,51.1900
2023-06-05,50.5825
2023-06-02,50.6262
2023-06-01,50.1132
2023-05-31,50.5683
2023-05-30,51.3711
2023-05-29,51.9755
2023-05-26,52.6914
2023-05-25,52.2052
2023-05-24,53.1018
2023-05-23,53.5690
2023-05-22,53.7328
2023-05-19,53.5015
2023-05-18,52.6562
2023-05-17,52.8396
2023-05-16,53.1142
2023-05-15,53.0538
2023-05-12,52.3141
2023-05-11,52.7765
2023-05-10,52.8103
2023-05-09,53.3858
2023-05-08,52.7257
2023-05-06,52.7481
2023-05-05,52.7481
2023-05-04,52.8361
2023-05-03,53.4992
2023-05-02,54.5381
2023-04-29,54.8822
2023-04-28,54.8822
2023-04-27,54.1546
2023-04-26,53.9254
2023-04-25,54.4079
2023-04-24,54.2288
2023-04-20,54.1349
2023-04-19,53.0475
2023-04-18,53.2227
2023-04-17,53.4523
2023-04-14,52.7608
2023-04-13,53.4265
2023-04-12,53.8344
2023-04-11,53.2131
2023-04-10,52.5320
2023-04-05,52.9243
2023-04-04,53.8983
2023-04-03,53.8601
2023-03-31,54.9420
2023-03-30,56.4746
2023-03-29,56.3551
2023-03-28,56.0237
2023-03-27,55.8579
2023-03-24,55.2262
2023-03-23,54.6404
2023-03-22,54.2871
2023-03-21,54.7895
2023-03-20,54.5434
2023-03-17,54.7363
2023-03-16,55.1644
2023-03-15,54.9517
2023-03-14,55.1657
2023-03-13,54.7341
2023-03-10,54.5034
2023-03-09,54.8577
2023-03-08,55.1905
2023-03-07,54.6731
2023-03-06,54.5272
2023-03-03,53.9864
2023-03-02,54.3334
2023-03-01,54.5721
2023-02-28,54.3737
2023-02-27,54.0485
2023-02-24,54.1121
2023-02-23,54.5145
2023-02-22,53.7620
2023-02-17,55.0721
2023-02-16,54.1044
2023-02-15,54.2121
2023-02-14,53.7377
2023-02-13,53.9719
2023-02-10,53.9931
2023-02-09,53.4322
2023-02-08,53.1404
2023-02-07,53.1507
2023-02-06,53.0605
2023-02-03,53.4064
2023-02-02,53.5385
2023-02-01,53.8938
2023-01-31,53.7636
2023-01-30,52.9838
2023-01-27,53.5463
2023-01-26,53.8495
2023-01-25,54.3677
2023-01-24,53.0433
2023-01-23,53.2053
2023-01-20,53.1699
2023-01-19,53.7536
2023-01-18,53.8343
2023-01-17,54.1562
2023-01-16,53.6242
2023-01-13,54.9271
2023-01-12,54.5340
2023-01-11,54.6263
2023-01-10,53.7221
2023-01-09,54.0982
2023-01-06,54.2099
2023-01-05,53.7370
2023-01-04,53.6681
2023-01-03,53.4537
2023-01-02,54.4009
2022-12-29,54.8160
2022-12-28,55.0085
2022-12-27,54.4331
2022-12-26,54.6134
2022-12-23,54.9238
2022-12-22,55.3659
2022-12-21,54.9250
2022-12-20,54.9549
2022-12-19,54.7031
2022-12-16,54.1546
2022-12-15,53.8039
2022-12-14,53.7875
2022-12-13,52.7280
2022-12-12,52.9931
2022-12-09,53.9819
2022-12-08,54.0788
2022-12-07,54.1367
2022-12-06,54.5695
2022-12-05,54.4815
2022-12-02,55.5081
2022-12-01,55.2323
2022-11-30,55.9086
2022-11-29,54.8862
2022-11-28,54.7169
2022-11-25,56.3102
2022-11-24,56.9879
2022-11-23,56.3416
2022-11-22,56.3099
2022-11-21,56.9134
2022-11-18,56.7501
2022-11-17,57.0253
2022-11-16,56.3738
2022-11-14,58.4087
2022-11-11,57.8917
2022-11-10,57.2955
2022-11-09,58.7806
2022-11-08,59.0016
2022-11-07,59.1117
2022-11-04,59.0360
2022-11-03,58.5810
2022-11-01,57.9725
2022-10-31,58.9163
2022-10-28,57.4909
2022-10-27,57.8863
2022-10-26,57.1981
2022-10-25,54.6704
2022-10-24,54.5979
2022-10-21,54.8475
2022-10-20,54.3626
2022-10-19,54.3536
2022-10-18,54.2733
2022-10-17,53.4177
2022-10-14,52.7262
2022-10-13,53.3640
2022-10-11,53.8184
2022-10-10,54.2115
2022-10-07,53.3730
2022-10-06,53.7757
2022-10-05,53.7211
2022-10-04,53.3302
2022-10-03,53.6852
2022-09-30,52.3553
2022-09-29,50.3969
2022-09-28,50.5821
2022-09-27,50.3109
2022-09-26,50.7913
2022-09-23,50.8425
2022-09-22,51.2468
2022-09-21,51.4204
2022-09-20,51.3725
2022-09-19,50.8632
2022-09-16,50.7477
2022-09-15,50.2943
2022-09-14,50.8963
2022-09-13,50.8868
2022-09-12,51.9971
2022-09-09,50.7806
2022-09-08,50.5462
2022-09-06,50.6257
2022-09-05,51.2347
2022-09-02,50.5689
2022-09-01,48.7309
2022-08-31,48.6379
2022-08-30,48.7351
2022-08-29,48.7148
2022-08-26,49.1386
2022-08-25,49.2737
2022-08-24,49.1154
2022-08-23,49.1249
2022-08-22,49.2661
2022-08-19,50.1218
2022-08-18,51.0882
2022-08-17,50.6984
2022-08-16,50.8550
2022-08-15,50.6192
2022-08-12,51.1637
2022-08-11,50.4379
2022-08-10,50.9736
2022-08-09,49.9205
2022-08-08,50.0657
2022-08-05,49.1879
2022-08-04,49.1682
2022-08-03,48.4875
2022-08-02,48.7310
2022-08-01,48.2361
2022-07-29,48.3841
2022-07-28,48.2761
2022-07-27,47.2230
2022-07-26,46.5418
2022-07-25,46.7917
2022-07-22,46.1375
2022-07-21,45.4716
2022-07-20,46.0479
2022-07-19,46.9131
2022-07-18,46.0440
2022-07-15,46.4292
2022-07-14,46.2740
