timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-09,17.8,18.65,17.77,18.51,18.51,438000,0.0000,1.0
2023-06-07,17.69,17.84,17.51,17.74,17.74,165700,0.0000,1.0
2023-06-06,17.5,17.79,17.23,17.62,17.62,242100,0.0000,1.0
2023-06-05,17.59,17.59,17.13,17.31,17.31,142300,0.0000,1.0
2023-06-02,17.14,17.6,16.97,17.42,17.42,508300,0.0000,1.0
2023-06-01,17.0,17.32,17.0,17.09,17.09,257600,0.0000,1.0
2023-05-31,17.36,17.4,16.8,17.13,17.13,584400,0.0000,1.0
2023-05-30,17.79,17.79,17.31,17.36,17.36,208900,0.0000,1.0
2023-05-29,17.71,17.9,17.55,17.63,17.63,198500,0.0000,1.0
2023-05-26,17.99,18.2,17.7,17.7,17.7,311300,0.0000,1.0
2023-05-25,18.01,18.29,17.94,17.98,17.98,275800,0.0000,1.0
2023-05-24,18.33,18.51,17.94,17.94,17.94,1191900,0.0000,1.0
2023-05-23,18.56,18.78,18.19,18.19,18.19,380300,0.0000,1.0
2023-05-22,19.08,19.29,18.51,18.51,18.51,418300,0.0000,1.0
2023-05-19,18.95,19.2,18.8,19.05,19.05,237400,0.0000,1.0
2023-05-18,18.91,19.04,18.75,18.9,18.9,231600,0.0000,1.0
2023-05-17,19.51,19.62,18.86,18.88,18.88,889000,0.0000,1.0
2023-05-16,19.73,20.11,19.22,19.22,19.22,320700,0.0000,1.0
2023-05-15,19.67,19.85,19.6,19.74,19.74,238900,0.0000,1.0
2023-05-12,20.0,20.0,19.59,19.59,19.59,259700,0.0000,1.0
2023-05-11,20.0,20.03,19.78,19.94,19.94,603300,0.0000,1.0
2023-05-10,19.87,20.0,19.64,20.0,20.0,194900,0.0000,1.0
2023-05-09,19.53,19.83,19.46,19.83,19.83,179300,0.0000,1.0
2023-05-08,19.85,19.86,19.2,19.4,19.4,471700,0.0000,1.0
2023-05-06,20.33,20.52,19.45,19.7,19.7,745900,0.0000,1.0
2023-05-05,20.33,20.52,19.45,19.7,19.7,745900,0.0000,1.0
2023-05-04,20.35,20.68,20.33,20.55,20.55,215200,0.0000,1.0
2023-05-03,19.85,21.0,19.82,20.33,20.33,504600,0.0000,1.0
2023-05-02,19.98,20.24,19.73,19.85,19.85,288900,0.0000,1.0
2023-04-29,20.23,20.23,19.7,20.2,20.2,438800,0.0000,1.0
2023-04-28,20.23,20.23,19.7,20.2,20.2,438800,0.0000,1.0
2023-04-27,20.01,20.3,19.97,20.23,20.1169,131300,0.1131,1.0
2023-04-26,19.85,20.24,19.7,20.06,19.9479,235900,0.0000,1.0
2023-04-25,20.27,20.27,19.92,19.99,19.8783,114100,0.0000,1.0
2023-04-24,20.32,20.34,20.01,20.28,20.1667,129300,0.0000,1.0
2023-04-20,20.17,20.24,19.91,20.2,20.0861,363000,0.0000,1.0
2023-04-19,19.45,20.7,19.41,20.05,19.937,541300,0.0000,1.0
2023-04-18,19.26,19.64,19.17,19.53,19.4199,131500,0.0000,1.0
2023-04-17,19.64,19.64,19.13,19.4,19.2907,146800,0.0000,1.0
2023-04-14,18.89,20.0,18.63,19.47,19.3603,551600,0.0000,1.0
2023-04-13,19.17,19.36,18.83,19.12,19.0122,218700,0.0000,1.0
2023-04-12,18.18,19.28,18.18,19.17,19.0619,266500,0.0000,1.0
2023-04-11,17.9,18.39,17.9,18.27,18.167,181500,0.0000,1.0
2023-04-10,17.82,18.07,17.74,17.74,17.64,141000,0.0000,1.0
2023-04-06,17.5,17.97,17.5,17.85,17.7494,167500,0.0000,1.0
2023-04-05,17.77,17.86,17.52,17.52,17.4212,271100,0.0000,1.0
2023-04-04,17.25,17.93,17.25,17.79,17.6897,665200,0.0000,1.0
2023-04-03,16.91,17.26,16.8,17.25,17.1528,176500,0.0000,1.0
2023-03-31,16.79,17.23,16.76,17.12,17.0235,311300,0.0000,1.0
2023-03-30,16.49,16.88,16.47,16.78,16.6854,190800,0.0000,1.0
2023-03-29,16.43,16.45,16.02,16.33,16.238,217200,0.0000,1.0
2023-03-28,15.98,16.65,15.98,16.26,16.1683,361000,0.0000,1.0
2023-03-27,15.5,16.1,15.47,16.07,15.9794,278000,0.1928,1.0
2023-03-24,15.45,15.52,15.15,15.37,15.0917,260100,0.0000,1.0
2023-03-23,15.41,15.59,14.98,15.47,15.1899,342000,0.0000,1.0
2023-03-22,15.1,15.3,14.95,15.1,14.8266,132400,0.0000,1.0
2023-03-21,15.31,15.44,14.99,15.17,14.8953,172400,0.0000,1.0
2023-03-20,15.44,15.52,15.26,15.27,14.9935,114200,0.0000,1.0
2023-03-17,15.46,15.64,15.22,15.55,15.2684,1281000,0.0000,1.0
2023-03-16,15.82,15.82,15.44,15.46,15.18,539000,0.0000,1.0
2023-03-15,15.4,15.84,15.2,15.82,15.5335,231500,0.0000,1.0
2023-03-14,15.2,15.49,15.2,15.41,15.1309,102900,0.0000,1.0
2023-03-13,15.2,15.37,15.1,15.18,14.9051,137600,0.0000,1.0
2023-03-10,15.13,15.42,15.08,15.2,14.9248,162700,0.0000,1.0
2023-03-09,15.54,15.76,15.12,15.13,14.856,205500,0.0000,1.0
2023-03-08,15.26,15.63,15.26,15.54,15.2586,133100,0.0000,1.0
2023-03-07,15.19,15.34,15.09,15.26,14.9837,130100,0.0000,1.0
2023-03-06,14.72,15.23,14.7,15.15,14.8757,146800,0.0000,1.0
2023-03-03,15.24,15.38,14.7,14.7,14.4338,200400,0.0000,1.0
2023-03-02,15.23,15.44,15.16,15.24,14.964,92400,0.0000,1.0
2023-03-01,15.5,15.5,15.04,15.17,14.8953,249900,0.0000,1.0
2023-02-28,15.69,16.03,15.45,15.5,15.2193,312600,0.0000,1.0
2023-02-27,15.61,15.9,15.53,15.75,15.4648,286100,0.0000,1.0
2023-02-24,15.79,15.92,15.59,15.73,15.4452,595800,0.0000,1.0
2023-02-23,15.73,15.93,15.61,15.74,15.455,587500,0.0000,1.0
2023-02-22,16.2,16.2,15.69,15.73,15.4452,102300,0.0000,1.0
2023-02-17,16.06,16.21,16.0,16.18,15.887,110500,0.0000,1.0
2023-02-16,16.14,16.18,15.66,16.06,15.7692,249200,0.0000,1.0
2023-02-15,16.27,16.41,15.98,16.12,15.8281,294700,0.0000,1.0
2023-02-14,16.18,16.35,15.94,16.34,16.0441,410200,0.0000,1.0
2023-02-13,16.1,16.22,15.96,16.1,15.8085,116300,0.0000,1.0
2023-02-10,15.91,16.2,15.91,16.1,15.8085,172100,0.0000,1.0
2023-02-09,16.34,16.47,15.86,15.91,15.6219,215300,0.0000,1.0
2023-02-08,16.03,16.35,15.94,16.34,16.0441,161500,0.0000,1.0
2023-02-07,16.7,16.7,16.0,16.01,15.7201,148500,0.0000,1.0
2023-02-06,16.24,16.69,16.18,16.54,16.2405,200100,0.0000,1.0
2023-02-03,16.65,16.65,16.15,16.32,16.0245,409400,0.0000,1.0
2023-02-02,16.66,16.81,16.39,16.61,16.3092,358800,0.0000,1.0
2023-02-01,16.84,16.91,16.26,16.66,16.3583,511100,0.0000,1.0
2023-01-31,16.33,16.82,16.25,16.64,16.3387,301900,0.0000,1.0
2023-01-30,16.11,16.5,16.11,16.33,16.0343,312000,0.0000,1.0
2023-01-27,16.99,16.99,16.11,16.11,15.8183,320000,0.0000,1.0
2023-01-26,17.11,17.35,16.81,16.98,16.6725,240600,0.0000,1.0
2023-01-25,16.77,17.03,16.64,17.0,16.6922,124400,0.0000,1.0
2023-01-24,16.37,16.71,16.3,16.7,16.3976,164500,0.0000,1.0
2023-01-23,16.27,16.63,16.2,16.2,15.9066,219300,0.0000,1.0
2023-01-20,16.67,16.67,16.03,16.27,15.9754,646300,0.0000,1.0
2023-01-19,16.65,16.85,16.52,16.66,16.3583,222700,0.0000,1.0
2023-01-18,16.95,17.06,16.64,16.68,16.378,351200,0.0000,1.0
2023-01-17,16.39,17.03,16.39,16.93,16.6234,226800,0.0000,1.0
2023-01-16,16.63,16.69,16.22,16.48,16.1816,245300,0.0000,1.0
2023-01-13,16.69,16.8,16.42,16.63,16.3289,152700,0.0000,1.0
2023-01-12,16.63,16.89,16.58,16.66,16.3583,338400,0.0000,1.0
2023-01-11,16.33,16.83,16.24,16.66,16.3583,421800,0.0000,1.0
2023-01-10,16.31,16.39,16.0,16.33,16.0343,247400,0.0000,1.0
2023-01-09,15.83,16.32,15.62,16.15,15.8575,579200,0.0000,1.0
2023-01-06,15.93,16.07,15.74,15.83,15.5433,259800,0.0000,1.0
2023-01-05,16.02,16.07,15.55,16.07,15.779,437500,0.0000,1.0
2023-01-04,15.8,15.96,15.38,15.96,15.671,476300,0.0000,1.0
2023-01-03,15.66,16.11,15.61,15.69,15.4059,655600,0.0000,1.0
2022-12-29,15.98,16.37,15.68,16.15,15.8575,1846800,0.0000,1.0
2022-12-28,16.83,16.83,15.8,15.8,15.5139,1283200,0.0000,1.0
2022-12-27,16.64,16.64,16.32,16.55,16.2503,286200,0.2343,1.0
2022-12-26,17.12,17.12,16.36,16.5,15.9757,335400,0.0000,1.0
2022-12-23,16.92,17.18,16.62,16.83,16.2952,221000,0.0000,1.0
2022-12-22,16.56,16.93,16.48,16.7,16.1693,184100,0.0000,1.0
2022-12-21,17.19,17.35,16.43,16.65,16.1209,587400,0.1811,1.0
2022-12-20,16.42,17.19,16.4,17.18,16.4587,526900,0.0000,1.0
2022-12-19,17.51,17.51,16.19,16.4,15.7114,894600,0.0000,1.0
2022-12-16,16.65,17.35,16.54,17.35,16.6216,533300,0.0000,1.0
2022-12-15,16.66,16.97,16.38,16.47,15.7785,328900,0.0000,1.0
2022-12-14,16.2,16.83,15.95,16.66,15.9605,569100,0.0000,1.0
2022-12-13,16.86,16.96,16.22,16.23,15.5486,370200,0.0000,1.0
2022-12-12,17.55,17.68,16.58,16.82,16.1138,418600,0.0000,1.0
2022-12-09,17.27,17.72,17.14,17.55,16.8132,240200,0.0000,1.0
2022-12-08,17.78,17.81,17.05,17.27,16.5449,240600,0.0000,1.0
2022-12-07,17.41,17.89,17.41,17.85,17.1006,273700,0.0000,1.0
2022-12-06,17.51,17.71,17.29,17.39,16.6599,262300,0.0000,1.0
2022-12-05,17.9,17.93,17.29,17.39,16.6599,179800,0.0000,1.0
