time,RSI
2023-10-11,59.2745
2023-10-10,59.3959
2023-10-09,59.1568
2023-10-06,57.7944
2023-10-05,57.0256
2023-10-04,56.9161
2023-10-03,58.7354
2023-10-02,58.9427
2023-09-29,59.6653
2023-09-28,59.4856
2023-09-27,59.5824
2023-09-26,58.5718
2023-09-25,59.6727
2023-09-22,59.4626
2023-09-21,59.2044
2023-09-20,59.9464
2023-09-19,59.8713
2023-09-18,59.7966
2023-09-15,59.5731
2023-09-14,59.5546
2023-09-13,58.7681
2023-09-12,59.4493
2023-09-11,59.2999
2023-09-09,59.3405
2023-09-08,59.3405
2023-09-06,59.5002
2023-09-05,59.3648
2023-09-04,58.3734
2023-09-01,58.8207
2023-08-31,58.1768
2023-08-30,59.0780
2023-08-29,58.8740
2023-08-28,58.8093
2023-08-25,58.4767
2023-08-24,58.7637
2023-08-23,58.8287
2023-08-22,57.3050
2023-08-21,56.8596
2023-08-18,57.1318
2023-08-17,57.0578
2023-08-16,57.1903
2023-08-15,56.5638
2023-08-14,56.3593
2023-08-11,56.2851
2023-08-10,56.3681
2023-08-09,56.2130
2023-08-08,55.9944
2023-08-07,55.9672
2023-08-04,55.7958
2023-08-03,56.8565
2023-08-02,56.5095
2023-08-01,56.5903
2023-07-31,57.1805
2023-07-28,55.9774
2023-07-27,55.6392
2023-07-26,57.5436
2023-07-25,57.5436
2023-07-24,56.9152
2023-07-21,56.3486
2023-07-20,55.8386
2023-07-19,55.8107
2023-07-18,55.5608
2023-07-17,55.7459
2023-07-14,55.8148
2023-07-13,56.4838
2023-07-12,56.0704
2023-07-11,56.0524
2023-07-10,56.5101
2023-07-07,56.4662
2023-07-06,56.6363
2023-07-05,57.1592
2023-07-04,57.2048
2023-07-03,57.1457
2023-06-30,56.6806
2023-06-29,58.3915
2023-06-28,58.2752
2023-06-27,58.0344
2023-06-26,58.3101
2023-06-23,57.7472
2023-06-22,59.2495
2023-06-21,59.7265
2023-06-20,58.6724
2023-06-19,58.5466
2023-06-16,57.8863
2023-06-15,57.6725
2023-06-14,58.5081
2023-06-13,57.4420
2023-06-12,59.8355
2023-06-09,57.6650
2023-06-07,56.3925
2023-06-06,55.6246
2023-06-05,55.0706
2023-06-02,54.7911
2023-06-01,54.5790
2023-05-31,53.7588
2023-05-30,54.0695
2023-05-29,54.4154
2023-05-26,54.5421
2023-05-25,54.2063
2023-05-24,54.4338
2023-05-23,54.0521
2023-05-22,53.4438
2023-05-19,53.7794
2023-05-18,53.6738
2023-05-17,53.5305
2023-05-16,54.2393
2023-05-15,53.6314
2023-05-12,54.2897
2023-05-11,53.5046
2023-05-10,52.6203
2023-05-09,52.6864
2023-05-08,52.6078
2023-05-06,52.1056
2023-05-05,52.1056
2023-05-04,51.1302
2023-05-03,50.7655
2023-05-02,50.8489
2023-04-29,51.8621
2023-04-28,51.8621
2023-04-27,54.5238
2023-04-26,52.2855
2023-04-25,52.6370
2023-04-24,52.7506
2023-04-20,52.2781
2023-04-19,52.1107
2023-04-18,53.0103
2023-04-17,52.3814
2023-04-14,51.9979
2023-04-13,51.7446
2023-04-12,51.5759
2023-04-11,51.3982
2023-04-10,50.3065
2023-04-06,49.8114
2023-04-05,50.1509
2023-04-04,50.0739
2023-04-03,50.2853
2023-03-31,49.2833
2023-03-30,49.7798
2023-03-29,49.7124
2023-03-28,49.4141
2023-03-27,49.0181
2023-03-24,48.6396
2023-03-23,48.6487
2023-03-22,49.1348
2023-03-21,49.1990
2023-03-20,48.7535
2023-03-17,49.2815
2023-03-16,49.0460
2023-03-15,49.1183
2023-03-14,49.4974
2023-03-13,49.8875
2023-03-10,50.6132
